char,movie,mbti,votes
Woody,Toy Story (Franchise),ESFJ,1600
Tom Hansen,500 Days of Summer (2009),INFP,1500
Alice Kingsleigh,Alice in Wonderland / Through the Looking Glass (2010 - 2016),INFP,1500
"Emily ""Corpse Bride""",Corpse Bride (2005),ENFP,1500
Todd Anderson,Dead Poets Society (1989),INFP,1500
Clementine Kruczynski,Eternal Sunshine of the Spotless Mind (2004),ENFP,1500
Olaf,Frozen (Franchise),ENFP,1500
Kevin McCallister,Home Alone,ENTP,1500
Mavis Dracula,Hotel Transylvania (2012),ENFP,1500
Riley Andersen,Inside Out (Franchise),ISFP,1500
Richard ''Richie'' Tozier,It (2017),ENTP,1500
Eddie Kaspbrak,It (2017),ISFJ,1500
Maleficent,Maleficent (2014),INTJ,1500
Esther Coleman,Orphan (2009-2022),INFJ,1500
Rémy,Ratatouille (2007),ISFP,1500
"Antonio ""Tony"" Montana",Scarface (1983),ESTP,1500
Hannibal Lecter,The Silence of the Lambs (1991),INTJ,1500
Ming Lee,Turning Red (2022),ESFJ,1500
Neytiri te Tskaha Mo'at'ite,Avatar (Franchise),ENFJ,1400
Honey Lemon,Big Hero 6 (2014),ESFJ,1400
Victor Van Dort,Corpse Bride (2005),INFP,1400
Kristoff Bjorgman,Frozen (Franchise),ISTP,1400
Neville Longbottom,Harry Potter / Wizarding World Films,ISFJ,1400
Megara,Hercules (franchise),ISTP,1400
Perrito,Shrek (Franchise),ESFJ,1400
"Johnathon Ohnn ""The Spot""",Spider-Man: Across the Spider-Verse (2023),INTP,1400
Rey Skywalker,Star Wars,ISFP,1400
Esmeralda,The Hunchback of Notre Dame (1996),ESFP,1400
Ursula,The Little Mermaid (1989),ENTJ,1400
Tracy Freeland,Thirteen (2003),ISFP,1400
Tinker Bell,Tinker Bell (2008),ENFP,1400
WALL-E,WALL-E (2008),INFP,1400
Summer Finn,500 Days of Summer (2009),ENTP,1300
Jasmine,Aladdin (1992),ESFP,1300
"Jake Sully ""Tsyeyk te Suli""",Avatar (Franchise),ISTP,1300
Dr. Emmett “Doc” Brown,Back to the Future (Series),ENTP,1300
Gaston,Beauty and the Beast (Franchise),ESTP,1300
Baymax,Big Hero 6 (2014),ISFJ,1300
Tadashi Hamada,Big Hero 6 (2014),INFJ,1300
Rodrick Heffley,Diary of a Wimpy Kid (Series),ESTP,1300
Eleanor “Nora” Levetan,Do Revenge (2022),ISFP,1300
Pepa Madrigal,Encanto (2021),ESFP,1300
Mr. Fox,Fantastic Mr. Fox (2009),ENTP,1300
Marla Singer,Fight Club (1999),ESFP,1300
Forrest Gump,Forrest Gump (1994),ISFJ,1300
Cedric Diggory,Harry Potter / Wizarding World Films,ESFJ,1300
Hades,Hercules (franchise),ENTP,1300
Astrid Hofferson,How to Train Your Dragon (Franchise),ISTJ,1300
Shen,Kung Fu Panda (Franchise),ENTJ,1300
King Julien XIII,Madagascar (Franchise),ENFP,1300
Kowalski,Madagascar (Franchise),INTP,1300
