,genre_ids,id,popularity,release_date,title,vote_average,vote_count
128,"[16, 10751, 12, 18, 35]",150540,262.609,2015-06-09,Inside Out,7.914,20361
129,"[16, 10749, 14, 10751]",10198,77.828,2009-12-08,The Princess and the Frog,7.205,5351
130,"[10751, 14, 10749]",321612,78.629,2017-03-16,Beauty and the Beast,6.969,15191
131,"[16, 10751, 12]",10674,102.422,1998-06-18,Mulan,7.9,9317
132,"[12, 9648, 80]",497582,41.031,2020-09-23,Enola Holmes,7.286,5840
133,"[12, 14, 16]",128,50.963,1997-07-12,Princess Mononoke,8.34,7696
134,"[35, 18, 10749]",341540,9.709,2015-09-19,No Longer Heroine,6.698,63
135,"[14, 16, 12]",4935,103.304,2004-09-09,Howl's Moving Castle,8.408,9466
136,"[53, 28, 878]",218043,74.255,2014-10-03,Left Behind,4.226,1248
137,"[18, 16, 10749, 10752]",149870,33.929,2013-07-20,The Wind Rises,7.783,2869
138,"[16, 18, 10751, 9648]",242828,29.997,2014-07-19,When Marnie Was There,7.9,1723
139,"[12, 9648, 80]",497582,41.031,2020-09-23,Enola Holmes,7.286,5840
140,"[14, 18, 10749]",8966,100.298,2008-11-20,Twilight,6.29,13141
141,"[16, 10751]",38757,122.243,2010-11-24,Tangled,7.607,11077
142,"[12, 14]",675,94.428,2007-07-08,Harry Potter and the Order of the Phoenix,7.681,18934
143,"[12, 14]",674,112.931,2005-11-16,Harry Potter and the Goblet of Fire,7.8,20111
144,[18],48750,16.71,1995-03-22,Les Miserables,6.815,62
145,"[28, 16, 12, 14, 53]",635302,85.45,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.23,3706
146,[18],48750,16.71,1995-03-22,Les Miserables,6.815,62
147,"[28, 878, 35, 10751]",454626,77.326,2020-02-12,Sonic the Hedgehog,7.328,9263
148,"[14, 28, 9648]",123553,41.167,2013-08-21,The Mortal Instruments: City of Bones,6.438,4370
149,"[878, 12, 14]",70160,30.457,2012-03-12,The Hunger Games,7.207,21469
150,"[16, 35, 14, 12, 10751]",808,151.844,2001-05-18,Shrek,7.742,16574
151,"[28, 53]",245891,99.539,2014-10-22,John Wick,7.43,18681
152,"[16, 10751, 12]",10674,102.422,1998-06-18,Mulan,7.9,9317
153,"[27, 28, 878]",295830,31.904,2015-08-01,Attack on Titan,6.052,715
154,"[35, 878, 18]",646380,146.41,2021-12-07,Don't Look Up,7.102,7857
155,"[12, 14]",675,94.428,2007-07-08,Harry Potter and the Order of the Phoenix,7.681,18934
156,"[28, 12, 80, 9648]",10528,61.159,2009-12-23,Sherlock Holmes,7.211,13598
157,"[14, 12, 16, 10751]",10191,64.955,2010-03-18,How to Train Your Dragon,7.825,12606
158,"[28, 878]",603,569.07,1999-03-31,The Matrix,8.216,24931
159,"[28, 12, 878]",1771,44.102,2011-07-22,Captain America: The First Avenger,7.0,20931
160,"[28, 12, 878]",157350,65.65,2014-03-14,Divergent,6.918,12511
161,"[10749, 18]",398818,49.666,2017-07-28,Call Me by Your Name,8.145,11778
162,[18],965150,54.591,2022-10-21,Aftersun,7.69,1213
163,"[18, 878, 28]",695721,135.041,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,7.158,2202
164,[18],965150,54.591,2022-10-21,Aftersun,7.69,1213
165,"[12, 14, 28]",120,121.837,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.412,24380
166,"[28, 14]",364,64.646,1992-06-19,Batman Returns,6.925,6276
167,"[12, 14, 28]",22,119.533,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,20019
168,"[12, 28, 878]",1893,60.532,1999-05-19,Star Wars: Episode I - The Phantom Menace,6.547,14172
169,"[12, 18, 10751, 16]",420818,257.354,2019-07-12,The Lion King,7.114,9704
170,"[18, 28, 10752]",616,55.873,2003-12-05,The Last Samurai,7.586,6626
171,"[16, 35, 10751, 14]",76492,76.153,2012-09-20,Hotel Transylvania,7.0,8345
172,"[28, 12, 14]",284052,468.035,2016-10-25,Doctor Strange,7.422,21614
173,"[28, 12, 878]",429617,92.32,2019-06-28,Spider-Man: Far From Home,7.428,15172
174,"[16, 28, 14]",810693,75.236,2021-12-24,Jujutsu Kaisen 0,8.193,1287
175,"[12, 14]",675,94.428,2007-07-08,Harry Potter and the Order of the Phoenix,7.681,18934
176,"[16, 35, 10751, 14]",568124,150.275,2021-10-13,Encanto,7.606,9173
177,"[10751, 16, 14, 28, 12]",81188,55.194,2012-11-21,Rise of the Guardians,7.362,6494
178,"[878, 12, 28]",76600,248.803,2022-12-14,Avatar: The Way of Water,7.624,11310
179,"[28, 16, 12, 14, 53]",635302,85.45,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.23,3706
180,"[35, 18]",2108,60.454,1985-02-15,The Breakfast Club,7.746,7776
181,"[18, 80]",278,116.038,1994-09-23,The Shawshank Redemption,8.705,26218
182,"[14, 18, 10749]",162,63.337,1990-12-07,Edward Scissorhands,7.716,12539
183,"[16, 10751, 14]",129,103.963,2001-07-20,Spirited Away,8.536,15945
184,"[12, 14]",675,94.428,2007-07-08,Harry Potter and the Order of the Phoenix,7.681,18934
