,genre_ids,id,popularity,release_date,title,vote_average,vote_count
108,"[80, 35, 28, 12]",207703,111.773,2014-12-13,Kingsman: The Secret Service,7.634,16205
109,"[35, 10749]",455207,167.056,2018-08-15,Crazy Rich Asians,7.066,3513
110,"[35, 10749]",8835,66.642,2001-07-13,Legally Blonde,6.755,3808
111,[18],88583,8.254,1971-02-23,The Pursuit of Happiness,6.3,12
112,"[18, 878, 28]",695721,163.821,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,7.167,2171
113,"[27, 35, 10749]",82654,38.036,2013-01-31,Warm Bodies,6.447,5908
114,"[28, 878]",603,575.344,1999-03-31,The Matrix,8.215,24875
115,"[35, 80, 9648]",546554,112.752,2019-11-27,Knives Out,7.85,11837
116,"[10749, 18]",43949,41.596,2010-08-06,Flipped,8.003,2835
117,"[16, 12, 35, 10751, 28, 14]",62177,87.569,2012-06-21,Brave,7.017,13031
118,"[16, 10751]",38757,124.861,2010-11-24,Tangled,7.6,11057
119,"[16, 12, 35, 10751, 18, 37, 10749]",9023,68.625,2002-05-24,Spirit: Stallion of the Cimarron,7.7,4411
120,"[18, 10749]",4348,79.759,2005-09-16,Pride & Prejudice,8.08,7772
121,[18],492188,39.25,2019-09-28,Marriage Story,7.746,6731
122,"[16, 14, 10751]",12429,66.04,2008-07-19,Ponyo,7.746,4093
123,"[16, 18]",378064,57.859,2016-09-17,A Silent Voice: The Movie,8.379,3782
124,[18],352709,7.726,2002-12-25,Mano Po,7.2,8
125,"[16, 10751, 14]",129,123.774,2001-07-20,Spirited Away,8.537,15912
126,[18],376867,34.174,2016-10-21,Moonlight,7.391,6853
127,"[16, 10751]",12,132.735,2003-05-30,Finding Nemo,7.823,18722
128,[35],673593,155.458,2024-01-10,Mean Girls,6.115,375
129,"[35, 18, 10749, 10402]",313369,67.669,2016-11-29,La La Land,7.902,16330
130,"[16, 10751, 12, 18, 35]",150540,226.112,2015-06-09,Inside Out,7.9,20314
131,"[16, 10749, 14, 10751]",10198,85.17,2009-12-08,The Princess and the Frog,7.205,5336
132,"[10749, 10751, 16, 14]",10020,88.646,1991-10-22,Beauty and the Beast,7.735,9631
133,"[16, 10751, 12]",10674,97.964,1998-06-18,Mulan,7.913,9308
134,"[12, 9648, 80]",497582,44.149,2020-09-23,Enola Holmes,7.288,5830
135,"[12, 14, 16]",128,64.884,1997-07-12,Princess Mononoke,8.34,7685
136,"[35, 18, 10749]",341540,17.068,2015-09-19,No Longer Heroine,6.71,62
