char,movie,mbti,votes
The Beast,Split (2016),ISFP,152 Pdb Votes
Amanda Young,Saw Series (2004),ISFP,432 Pdb Votes
Prince Eric,The Little Mermaid (1989),ISFP,358 Pdb Votes
Ben,Song of the Sea (2014),ISFP,84 Pdb Votes
Billy Bibbit,One Flew Over the Cuckoo's Nest (1975),ISFP,116 Pdb Votes
Cinna,The Hunger Games (Franchise),ISFP,464 Pdb Votes
Slinky Dog,Toy Story (Franchise),ISFP,264 Pdb Votes
"JD ""John Durairaj""",Master (Tamil),ISTP,1 Pdb Vote
Noura Bahadur,Ayat-Ayat Cinta (2008),XXXX,1 Pdb Vote
Jane,All the Colors of the Dark (1972),ISFP,2 Pdb Votes
Ruth Fowler,In the Bedroom (2001),XXXX,1 Pdb Vote
Max,The Muppet Movie (1979),XXXX,1 Pdb Vote
''Caçador'',ESCONDIDO,XXXX,1 Pdb Vote
Henry Hayes,The Ministry of Ungentlemanly Warfare (2024),ISFP,2 Pdb Votes
Ginger Knowles,Swordfish (2001),XXXX,1 Pdb Vote
Ben Harper,The Night of the Hunter (1955),XXXX,1 Pdb Vote
Girl On Top,The Final Destination (2009),XXXX,1 Pdb Vote
Jennifer Wong (JANE),Sheriff: Narko Integriti,XXXX,1 Pdb Vote
Luke,Lord of the Flies (1990),XXXX,1 Pdb Vote
Larry,Lord of the Flies (1990),XXXX,1 Pdb Vote
Taylor (Jessica's Stepdaughter),Imaginary,ISFP,2 Pdb Votes
Rachel Banks,Enemy of the state,XXXX,1 Pdb Vote
Thevan,Bramayugam (2024),ISFP,2 Pdb Votes
Alisa,Alice in Wonderland (1981),XXXX,1 Pdb Vote
Tracey Brown,Exotica (1994),ISFP,10 Pdb Votes
Rosa,O Lobo Atrás Da Porta (2013),ISFP,4 Pdb Votes
Paquita,Chance (2009),ISFP,7 Pdb Votes
Kip Supernova,Escape From Planet Earth,XXXX,1 Pdb Vote
Goat Warrior (Candidate),Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Emma Craven,Hellraiser,XXXX,1 Pdb Vote
Arthur,La Chimera,XXXX,1 Pdb Vote
Nick Memphis,Shooter,XXXX,6 Pdb Votes
Orion's Father,Orion and the Dark (2024),XXXX,1 Pdb Vote
Tom Lee,The Tiger's Apprentice,XXXX,1 Pdb Vote
Poppy,Despicable Me (Franchise),ISFP,5 Pdb Votes
Eleanor/Belle Starr,Lucky Luke,XXXX,1 Pdb Vote
Setoyama Jun,Our Secret Diary (2023),ISFP,31 Pdb Votes
Evinrude,The Rescuers (1977),XXXX,1 Pdb Vote
Dida,Dyad (2023),ISFP,4 Pdb Votes
Koume Sato,A Girl on the Shore,XXXX,12 Pdb Votes
Toinette,Poor Things,ISFP,23 Pdb Votes
Michael’s Teddy Bear,Peter Pan (1953),ISFP,3 Pdb Votes
Astrid Deetz,Beetlejuice (1988),ISFP,6 Pdb Votes
Mary Magdalene,The Book of Clarence (2024),ESFP,1 Pdb Vote
Yaeji,Beauty Water (기기괴괴 성형수),ISFP,12 Pdb Votes
Clay,Trolls (2016),ISFP,52 Pdb Votes
Doug,Five Nights at Freddy's (Movie),ISFP,72 Pdb Votes
Luke,Fair Play (2023),ISFP,41 Pdb Votes
Maggie,Peacock (2010),ISFP,3 Pdb Votes
Gabriela,Saw Series (2004),ISFP,72 Pdb Votes
Soo-jin,The Divine Fury (2019),ISFP,1 Pdb Vote
Mao Bang Yu / Mao Mao,Marry My Dead Body (2023),ISFP,22 Pdb Votes
Ah-Min,My Heart Puppy,XXXX,1 Pdb Vote
Hom-Lee,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Salim Shah,Polite Society,ISFP,5 Pdb Votes
Papi Jr.,Beverly Hills Chihuahua,ISFP,4 Pdb Votes
Crystal Allen,The Opposite Sex (1956),ISFP,2 Pdb Votes
Camila Montes,American Carnage (2022),ISFP,20 Pdb Votes
Bom,"Pepi, Luci, Bom y otras chicas del montón (1980)",ISFP,6 Pdb Votes
Bonnie,Five Nights at Freddy's (Movie),ISFP,58 Pdb Votes
"Paul Beaumont, aka HE",He Who Gets Slapped (1924),XXXX,1 Pdb Vote
Pizza Worker,Inside Out (Franchise),ISFP,30 Pdb Votes
Noah Diaz,Transformers: Rise of the Beasts,ISFP,85 Pdb Votes
Katherina,The Taming of the Shrew (1929),ISFP,10 Pdb Votes
Son Bum Soo,Dream,XXXX,1 Pdb Vote
Lindy,Fitting In (2023),ISFP,3 Pdb Votes
Allan,Barbie (2023),ISFP,487 Pdb Votes
Kim Young-Ji,Kill Boksoon (2023),ISFP,6 Pdb Votes
Mika Schwarz,windstorm,ISFP,10 Pdb Votes
Bird,All the Boys Love Mandy Lane,XXXX,1 Pdb Vote
Allison,A Good Person (2023),XXXX,19 Pdb Votes
Vasya Petrov,Vacations of Petrov and Vasechkin (1984),ISFP,22 Pdb Votes
Emily Benetto,Emily The Criminal,ISFP,42 Pdb Votes
Debbie Stone,Killer Klowns from Outer Space (1988),ISFP,4 Pdb Votes
Fatso,Killer Klowns from Outer Space (1988),XXXX,3 Pdb Votes
Çiçek,İkimizin Yerine,ISFP,3 Pdb Votes
Cady,Megan (2023),ISFP,208 Pdb Votes
Asha Chaudhry ,Grimcutty,ISFP,13 Pdb Votes
Clawdeen Wolf,Monster High : The Movie (2022),ISFP,42 Pdb Votes
Riley,Hellraiser (2022),ISFP,35 Pdb Votes
Nancy,Sing (Franchise),ISFP,17 Pdb Votes
Becky,Fall (2022),ISFP,121 Pdb Votes
Jake Hardin,Just My Luck (2006),ISFP,12 Pdb Votes
Helen Ramirez,High Noon,ISFP,6 Pdb Votes
Perry Smith,In Cold Blood (1967),ISFP,18 Pdb Votes
Märta Lundberg,Winter Light (1963) (Nattvardsgästerna),ISFP,21 Pdb Votes
sierra silver,My Suicide (Archie’s Final Project),XXXX,10 Pdb Votes
Travis Biggins,Honor Society (2022),ISFP,10 Pdb Votes
Del Piero Hikmet,Çakallarla Dans,XXXX,1 Pdb Vote
Mirko,D1ARIE,ISFP,11 Pdb Votes
A-Li,Z-O-M-B-I-E-S (2018),ISFP,18 Pdb Votes
Nessie,Nope (2022),ISFP,3 Pdb Votes
Sayaka Kudō,Flying Colors (2015),ISFP,13 Pdb Votes
Factionless,Divergent (2014),ISFP,22 Pdb Votes
Em (Emily),Coherence,ISFP,13 Pdb Votes
Hyacinth Hippo,Walt Disney's Fantasia (1940),ISFP,3 Pdb Votes
Carly,Wrong Turn (2003),ISFP,22 Pdb Votes
Komaram Bheem,RRR (2022),ISFP,139 Pdb Votes
Ron Kirby,All That Heaven Allows (1955),ISFP,3 Pdb Votes
Owen,Let Me In,XXXX,10 Pdb Votes
Harley,Heaven knows what,ISFP,10 Pdb Votes
Edith,Captain Underpants (movie),ISFP,11 Pdb Votes
Michael,21 Bridges (2019),ISFP,9 Pdb Votes
Madam Simza Heron,Sherlock Holmes,ISFP,8 Pdb Votes
Ting,Ong Bak: The Thai Warrior,ISFP,10 Pdb Votes
Seven,Apocalypto (2006),ISFP,4 Pdb Votes
Jacqueline de Bellefort,Death on the Nile (2022),ISFP,120 Pdb Votes
Joséphine Bonaparte,"Napoleon ""Kitbag"" (2023)",ISFP,80 Pdb Votes
Lolita,Welcome to the Dollhouse (1995),ISFP,21 Pdb Votes
Masao,Kikujiro (1999),ISFP,8 Pdb Votes
Tessa Yeager,Transformers (Bayverse),ISFP,30 Pdb Votes
Hort of Bloodbrook,The School for Good and Evil,ISFP,41 Pdb Votes
