char,movie,mbti,votes
Harleen Quinzel “Harley Quinn”,DC Extended Universe,ENFP,3k Pdb Votes
The Joker,DC Extended Universe,ESTP,756 Pdb Votes
Clark Kent “Superman”,DC Extended Universe,ISFJ,786 Pdb Votes
Barry Allen “The Flash”,DC Extended Universe,INFP,987 Pdb Votes
Diana Prince “Wonder Woman”,DC Extended Universe,ENFJ,1.2k Pdb Votes
"Kent Nelson ""Doctor Fate""",DC Extended Universe,INFJ,393 Pdb Votes
Adrian Chase “Vigilante”,DC Extended Universe,ENFP,497 Pdb Votes
Christopher Smith “Peacemaker”,DC Extended Universe,ESTJ,679 Pdb Votes
Arthur Curry “Aquaman”,DC Extended Universe,ESTP,463 Pdb Votes
Lex Luthor,DC Extended Universe,ENTP,370 Pdb Votes
Milagro Reyes,Blue Beetle (2023),ENTP,53 Pdb Votes
"Jaime ""Blue Beetle"" Reyes",Blue Beetle (2023),ENFP,174 Pdb Votes
"Teth-Adam ""Black Adam""",DC Extended Universe,ISTP,522 Pdb Votes
August “Auggie” Smith,DC Extended Universe,ESTJ,104 Pdb Votes
Freddy Freeman,DC Extended Universe,ENTP,282 Pdb Votes
Bruce Wayne “Batman”,DC Extended Universe,INTJ,956 Pdb Votes
Akséll Joan,DC Extended Universe,ENTJ,5 Pdb Votes
Akzell Bdavo,DC Extended Universe,ENFJ,6 Pdb Votes
Uncle Rudy Reyes,Blue Beetle (2023),ENTP,55 Pdb Votes
Jenny Kord,Blue Beetle (2023),INFP,112 Pdb Votes
Hespera,DC Extended Universe,ENTJ,24 Pdb Votes
Cleo Cazo “Ratcatcher 2”,DC Extended Universe,INFP,581 Pdb Votes
Abner Krill “Polka-Dot Man”,DC Extended Universe,INFP,337 Pdb Votes
Gaius Grieves “The Thinker”,DC Extended Universe,INTP,151 Pdb Votes
Nanaue / King Shark,DC Extended Universe,ISFP,334 Pdb Votes
The Joker (Snydercut),DC Extended Universe,ENTP,144 Pdb Votes
Uxas “Darkseid”,DC Extended Universe,ENTJ,117 Pdb Votes
Helena Bertinelli “Huntress”,DC Extended Universe,INTJ,151 Pdb Votes
"Thaddeus Sivana ""Doctor Sivana""",DC Extended Universe,INTJ,133 Pdb Votes
"Orm Marius ""Ocean Master""",DC Extended Universe,ISTJ,105 Pdb Votes
Steppenwolf,DC Extended Universe,ESTJ,88 Pdb Votes
Steve Trevor,DC Extended Universe,ESTP,196 Pdb Votes
Floyd Lawton “Deadshot”,DC Extended Universe,ISTP,146 Pdb Votes
Colonel Nathan Hardy,DC Extended Universe,XXXX,1 Pdb Vote
King Ricou,Aquaman (2018),INFJ,2 Pdb Votes
"John Stewart ""Green Lantern""",Zack Snyder's Justice League (2021),ISTJ,29 Pdb Votes
Nam-Ek,DC Extended Universe,ESTP,13 Pdb Votes
Alberto “Roberto” Reyes,Blue Beetle (2023),ENFJ,24 Pdb Votes
Rocio Reyes,Blue Beetle (2023),ESFJ,11 Pdb Votes
Nana,Blue Beetle (2023),ESTP,54 Pdb Votes
Dr. Sanchez,Blue Beetle (2023),INFP,20 Pdb Votes
Khaji-Da,Blue Beetle (2023),INTJ,17 Pdb Votes
Kalypso,DC Extended Universe,ESTJ,46 Pdb Votes
Anthea,DC Extended Universe,INFJ,29 Pdb Votes
Conrad Carapax,Blue Beetle (2023),ISTP,23 Pdb Votes
"Kara Zor-El ""Supergirl""",DC Extended Universe,ISFP,139 Pdb Votes
Shiruta,DC Extended Universe,XXXX,1 Pdb Vote
Hurut,DC Extended Universe,ENFJ,12 Pdb Votes
Shazam (Black Adam),DC Extended Universe,ISTJ,3 Pdb Votes
"Ishmael Gregor ""Sabbac""",DC Extended Universe,ENTJ,23 Pdb Votes
"Albert ""Al"" Pratt (Uncle Al)",DC Extended Universe,ENTJ,2 Pdb Votes
