,char,movie,mbti,votes
166,Mrs Olivia Winfield-Foxworth,Flowers In The Attic (Lifetime movie franchise),ISTJ,1 Pdb Vote
167,Drone,Leo (2023),ISTJ,16 Pdb Votes
168,Paul Hunham,The Holdovers,ISTJ,204 Pdb Votes
169,Etienne Cheynet,Barbie & Her Sisters in a Pony Tale (2013),ISTJ,3 Pdb Votes
170,Seong Mina,New Generation War: Reawakened Man (2023),ISTJ,2 Pdb Votes
171,Hodges (The Lawyer),The Killer (2023),ISTJ,38 Pdb Votes
172,John Skillpa,Peacock (2010),ISTJ,3 Pdb Votes
173,Makiko Fushimi,Monster (2023),ISTJ,7 Pdb Votes
174,"Ellen ""The Lady""",The Quick and the Dead (1995),ISTJ,11 Pdb Votes
175,Lord Covington,Madeline (1998),XXXX,1 Pdb Vote
176,ülkü,İkimizin Yerine,ISTJ,3 Pdb Votes
177,Duncan,Saltburn,ISTJ,26 Pdb Votes
178,Counselor,K-12 (2019),ISTJ,7 Pdb Votes
179,Travis,Haunted Mansion (2023),ISTJ,33 Pdb Votes
180,Gil Renard,The Fan (1996),XXXX,1 Pdb Vote
181,The Director,Nimona (2023),ISTJ,186 Pdb Votes
182, Averill,Heaven's Gate (1980),XXXX,1 Pdb Vote
183,Captain Matthew Garth,Midway (1976),XXXX,2 Pdb Votes
184,Morten Borgen,Ordet (1955),XXXX,1 Pdb Vote
185, Anna Koreff / Anastasia,Anastasia (1956),ISTJ,13 Pdb Votes
186,Baptista,The Taming of the Shrew (1929),ISTJ,10 Pdb Votes
187,Howard Graham,Journey into Fear (1943),ISTJ,13 Pdb Votes
188,Inayat Khan,Mission Kashmir (2000),ISTJ,2 Pdb Votes
189,Sergeant Shin Dong-chul,Memories Of Murder (2003),ISTJ,5 Pdb Votes
190,Dom,Rye Lane (2023),ISTJ,18 Pdb Votes
191,Pontius Pilate,The Miracle Maker,XXXX,1 Pdb Vote
192,Brittany,Bottoms,ISTJ,61 Pdb Votes
193,Seán Kinsella,The Quiet Girl (2022),ISTJ,10 Pdb Votes
194,The Hunter,EMESIS BLUE,ISTJ,17 Pdb Votes
195,Şahin,İllegal Hayatlar,ISTJ,3 Pdb Votes
196,Dina ,the big 4,XXXX,4 Pdb Votes
197,Papa Bear,Shrek (Franchise),ISTJ,80 Pdb Votes
198,Priscilla,The Pebble and the Penguin (1995),ENFJ,10 Pdb Votes
199,Ms. Mecham,Ramona and Beezus (2010),XXXX,8 Pdb Votes
200,Throk,How to Train Your Dragon (Franchise),ISTJ,4 Pdb Votes
201,Kiriko,Ninja Assassin,XXXX,3 Pdb Votes
202,Queen Selina,The Little Mermaid (2023 film),ISTJ,20 Pdb Votes
203,Leonardo ,TMNT (2007),ISTJ,31 Pdb Votes
204,Trevor,Smile,ISTJ,21 Pdb Votes
205,Ruth,Pearl (2022),ISTJ,236 Pdb Votes
206,Burt Fabelman,The Fabelmans (2022),ISTJ,92 Pdb Votes
207,Peg,Glass Onion: A Knives Out Mystery (2022),ISTJ,58 Pdb Votes
208,Prudence,Cinderella (1950),ISTJ,24 Pdb Votes
209,Sgt. Jim Bert,The Blob (1958),ISTJ,4 Pdb Votes
210,Luthera of Landreth (Wandering Blade),Kung Fu Panda (Franchise),ISTJ,26 Pdb Votes
211,Avik San,The Gray Man,ISTJ,30 Pdb Votes
