,char,movie,mbti,votes
1754,Kamil,Gemide (1998),ISTJ,2 Pdb Votes
1755,Ashlynn,Barbie Presents Thumbelina,ISTJ,1 Pdb Vote
1756,Sheriff Gordy,Open Season (2006),ISTJ,28 Pdb Votes
1757,Arthur,Dirty Rotten Scoundrels,ISTJ,3 Pdb Votes
1758,Inspector Javert,Les Miserables (2012),ISTJ,71 Pdb Votes
1759,George Webber,Dreamscape (1984),ISTJ,2 Pdb Votes
1760,President John,Dreamscape (1984),ISTJ,2 Pdb Votes
1761,Alex Gardner,Dreamscape (1984),ISTJ,7 Pdb Votes
1762,Hotel Van Driver,Old (2021),ISTJ,4 Pdb Votes
1763,Guy,Old,ISTJ,2 Pdb Votes
1764,Officer Sanders,Arsenic and Old Lace,ISTJ,1 Pdb Vote
1765,Mr. Witherspoon,Arsenic and Old Lace,ISTJ,1 Pdb Vote
1766,Paulina,Raise Ravens / Cría Cuervos (1976),ISTJ,2 Pdb Votes
1767,Balraj Chaudhry,Kalank (2019),ISTJ,3 Pdb Votes
1768,Dev Chaudhry,Kalank (2019),ISTJ,4 Pdb Votes
1769,Damodar,Dungeons & Dragons (film series),ISTJ,3 Pdb Votes
1770,Agent Johnson,The Matrix Trilogy,XXXX,1 Pdb Vote
1771,James Stacy,Once Upon a Time in... Hollywood (2019),ISTJ,4 Pdb Votes
1772,Trond,Thelma (2017),ISTJ,3 Pdb Votes
1773,Train Station Robot Officer,Mirai (2018),ISTJ,4 Pdb Votes
1774,Vó Maria,Pessoas,ISTJ,5 Pdb Votes
1775,Yukko,Mirai (2018),ISTJ,4 Pdb Votes
1776,The Grandmother,Mirai (2018),ISTJ,4 Pdb Votes
1777,Mr. Kieslowski,Turning Red (2022),ISTJ,21 Pdb Votes
1778,Howard Inlet,Collateral Beauty (2016),ISTJ,22 Pdb Votes
1779,Natalia Landauer,Cabaret (1972),ISTJ,8 Pdb Votes
1780,Fräulein Kost,Cabaret (1972),ISTJ,1 Pdb Vote
1781,Harvester (Alien),Independence Day (Franchise),ISTJ,3 Pdb Votes
1782,Paul Altman,This Is Where I Leave You (2014),ISTJ,7 Pdb Votes
1783,Judd Altman,This Is Where I Leave You (2014),ISTJ,3 Pdb Votes
1784,Kahveci Musa,Yedi Bela Hüsnü (1982),ISTJ,2 Pdb Votes
1785,Paul Meadows,Antlers (2021),ISTJ,12 Pdb Votes
1786,Vijay Saigal,Yeh Dillagi (1994),ISTJ,2 Pdb Votes
1787,Nawin,Nicos Weg,ISTJ,1 Pdb Vote
1788,Ed,Terror Train (1980),ISTJ,2 Pdb Votes
1789,Rauno,Rare Exports,ISTJ,6 Pdb Votes
1790,Christina,Benedetta,ISTJ,10 Pdb Votes
1791,Tae-Yul,The Swordsman,ISTJ,8 Pdb Votes
1792,Roxanne Simpson,Ghost Rider (Film Series),ISTJ,8 Pdb Votes
1793,Lee Weathers,Morgan (2016),ISTJ,1 Pdb Vote
1794,Terry,Wrath of Man (2021),XXXX,2 Pdb Votes
1795,Fred's Mother,The Rose Maker,ISTJ,3 Pdb Votes
1796,LT Steven Hauk,"Good Morning, Vietnam (1987)",ISTJ,2 Pdb Votes
1797,Janet McKenzie,Witness for the Prosecution (1957),ISTJ,9 Pdb Votes
1798,Walter Breachway,BlacKkKlansman (2018),XXXX,0
1799,Sorter,Revolver (2005),ISTJ,0
1800,Sam,Jungle Cruise (2021),ISTJ,4 Pdb Votes
1801,Romeo Command,The Tomorrow War (2021),ISTJ,8 Pdb Votes
1802,"Corrado ""Junior"" Soprano",The Many Saints of Newark,ISTJ,3 Pdb Votes
1803,Silvio Dante,The Many Saints of Newark,ISTJ,14 Pdb Votes
1804,Matt Wertz,No Sudden Move (2021),ISTJ,1 Pdb Vote
1805,Slava,What Men Talk About,ISTJ,3 Pdb Votes
1806,Phil Burbank,The Power of the Dog (2021),ISTJ,196 Pdb Votes
1807,Margaret Court,Battle of the Sexes (2017),XXXX,3 Pdb Votes
1808,Bruce Halsted,North Country,ISTJ,2 Pdb Votes
1809,Peg,North Country,ISTJ,2 Pdb Votes
1810,Claire Miller,The House That Jack Built (2018),ISTJ,16 Pdb Votes
1811,Guillermo / Snaggle Tooth Monk,Nacho Libre (2006),ISTJ,5 Pdb Votes
1812,Mr. Carlyle,The Greatest Showman (2017),XXXX,7 Pdb Votes
1813,Waitress,The Emperor's New Groove (2000),ISTJ,22 Pdb Votes
1814,Harold Nicolson,Vita & Virginia (2018),ISTJ,3 Pdb Votes
1815,Jim Gordon,Batman Begins,ISTJ,7 Pdb Votes
1816,Aunt Beth,Endless Night (1972),ISTJ,21 Pdb Votes
1817,Guy Montag,Fahrenheit 451 (2018),ISTJ,3 Pdb Votes
1818,Mama Mousekewitz,An American Tail (1986),ISTJ,2 Pdb Votes
1819,Delores,Paw Patrol: The Movie,ISTJ,12 Pdb Votes
1820,Judge Joseph Dredd,Judge Dredd,ISTJ,2 Pdb Votes
1821,Camila Rosetta,Agnese,ISTJ,1 Pdb Vote
1822,Sister Oana (The Nun),The Conjuring,ISTJ,1 Pdb Vote
1823,Father Burke (The Nun),The Conjuring,XXXX,1 Pdb Vote
1824,Detective Cooper (The Curse Of La Llorona),The Conjuring,XXXX,6 Pdb Votes
1825,Samuel Mullins (Annabelle : Creation),The Conjuring,ISTJ,2 Pdb Votes
1826,Meryl (The Devil Made Me Do It),The Conjuring,ISTJ,22 Pdb Votes
1827,Bill Wikings (The Conjuring 2),The Conjuring,XXXX,10 Pdb Votes
1828,I.M. Slime,Grandma Got Run Over by a Reindeer (2000),ISTJ,1 Pdb Vote
1829,Nigel Honeycutt,Fool’s Gold (2008),ISTJ,2 Pdb Votes
1830,Tau,Alpha (2018),ISTJ,4 Pdb Votes
1831,Kenya Denise McQueen,Something New,ISTJ,2 Pdb Votes
1832,Phil parsons,Gothika (2003),XXXX,4 Pdb Votes
1833,Richard,Das Wunder von Bern (The Miracle of Bern),ISTJ,22 Pdb Votes
1834,City Hunter Predator,Predator,ISTJ,8 Pdb Votes
1835,Florence,Gunpowder Milkshake,ISTJ,10 Pdb Votes
1836,William Darcy,Christmas at Pemberly Manor,ISTJ,17 Pdb Votes
1837,Louise,Naked (1993),ISTJ,2 Pdb Votes
1838,Shannon Hazelbourne,Velvet Goldmine (1998),ISTJ,15 Pdb Votes
1839,"Dimitrije ""Mita"" Pantić",Tesna koža (1982),ISTJ,2 Pdb Votes
1840,Nedley,Daphne and Velma,ISTJ,7 Pdb Votes
1841,Ed Harken,Anchorman (2004),ISTJ,2 Pdb Votes
1842,Bernard,Home Front,ISTJ,1 Pdb Vote
1843,Henry,Babyteeth (2019),ISTJ,9 Pdb Votes
1844,Dean Elizabeth Walker,Promising Young Woman (2020),ISTJ,9 Pdb Votes
1845,Mark Lewis,Peeping Tom (1960),ISTJ,1 Pdb Vote
1846,Taylor,The Rental,XXXX,2 Pdb Votes
1847,Brian,Awake (2021),ISTJ,11 Pdb Votes
1848,Sam Shaw,Eagle Eye (2008),ISTJ,0
1849,Tenente Guedes,Lisbela e o Prisioneiro (2003),ISTJ,0
1850,Rocco,Perfetti Sconosciuti,ISTJ,10 Pdb Votes
1851,Enid Baines,Censor (2021),ISTJ,15 Pdb Votes
1852,Art,Us again (2021),ISTJ,3 Pdb Votes
1853,Archer,The Rezort(2015),ISTJ,3 Pdb Votes
1854,Agent Carla Rosetti,Spontaneous,XXXX,2 Pdb Votes
1855,Jerry Falwell,The Eyes of Tammy Faye (2021),ISTJ,8 Pdb Votes
1856,Byron Crawford,Midnight at the switchgrass,ISTJ,1 Pdb Vote
1857,Fa Ming,Monkey King: Hero is Back (2015）,ISTJ,2 Pdb Votes
1858,Chez Quis Maitre'd,Ferris Bueller's Day Off (1986),ISTJ,19 Pdb Votes
1859,Jakob Berman,Fear Street (Franchise),ISTJ,22 Pdb Votes
1860,Louise Pope,Brigsby Bear,ISTJ,2 Pdb Votes
1861,April Mitchum,Brigsby Bear,ISTJ,6 Pdb Votes
1862,Anika,Another Round (2020),ISTJ,8 Pdb Votes
1863,Pahn,Where We Belong (2019),ISTJ,2 Pdb Votes
1864,Belle’s father,Where We Belong (2019),ISTJ,1 Pdb Vote
1865,Sue’s father,Where We Belong (2019),ISTJ,4 Pdb Votes
1866,Father,The Eyes of My Mother,ISTJ,7 Pdb Votes
1867,Mother,The Eyes of My Mother,ISTJ,8 Pdb Votes
1868,Vincent,The Void (2016),ISTJ,4 Pdb Votes
1869,CPT Mike Steele,Black Hawk Down (2001),ISTJ,4 Pdb Votes
1870,MG William Garrison,Black Hawk Down (2001),ISTJ,5 Pdb Votes
1871,The Bad,"The Good, the Bad and the Ugly",ISTJ,24 Pdb Votes
1872,Dee Dee Sykes,SCOOB!,ISTJ,7 Pdb Votes
1873,Muttley,SCOOB!,ISTJ,7 Pdb Votes
1874,Curtis Farraday,Summer of 84 (2018),ISTJ,12 Pdb Votes
1875,Hailey,Barbie and the Pink Shoes,ISTJ,16 Pdb Votes
1876,Nipper Read,Legend (2015),ISTJ,1 Pdb Vote
1877,Tau,Tau,ISTJ,11 Pdb Votes
1878,Francin,Postřižiny,ISTJ,1 Pdb Vote
1879,"Ralph ""Iggy"" Ignatowski",Flags of Our Fathers,ISTJ,1 Pdb Vote
1880,Alex,The Road Within,ISTJ,2 Pdb Votes
1881,Robert Bruce,Outlaw King,ISTJ,23 Pdb Votes
1882,Veora Woods,Spell (2020),XXXX,1 Pdb Vote
1883,Mechani-Kong,MonsterVerse,ISTJ,5 Pdb Votes
1884,Alvin Dewey,Capote (2005),ISTJ,9 Pdb Votes
1885,Sarah,The Marksman (2021),ISTJ,14 Pdb Votes
1886,Sgt John Rawlins,Glory (1989),ISTJ,2 Pdb Votes
1887,Hank Aimes,North Country,ISTJ,1 Pdb Vote
1888,Raymond Stockbridge,Gosford Park,XXXX,1 Pdb Vote
1889,Prince Escalus,Romeo and Juliet (1968),ISTJ,3 Pdb Votes
1890,Lady Capulet,Romeo and Juliet (1968),ISTJ,2 Pdb Votes
1891,Don Pedro de Ursúa,"Aguirre, the Wrath of God",ISTJ,1 Pdb Vote
1892,Jimmy McGinty,The Replacements,ISTJ,2 Pdb Votes
1893,Brandon Roberts,Prom,ISTJ,4 Pdb Votes
1894,Dr. Henry Hulme,Heavenly Creatures (1994),XXXX,1 Pdb Vote
1895,Bishop Joseph Fliesser,A Hidden Life,ISTJ,2 Pdb Votes
1896,John 'Tig' Tiegen,13 Hours (2016),ISTP,1 Pdb Vote
1897,Batsheva,Sallah Shabati,ISTJ,2 Pdb Votes
1898,Tic,Ana y Bruno,ISTJ,1 Pdb Vote
1899,Ricardo,Ana y Bruno,ISTJ,0
1900,Jeffrey,Cruella (2021),ISTJ,91 Pdb Votes
1901,Kouki Ozawa,My Rainy Days (Tenshi no Koi; 2009),ISTJ,10 Pdb Votes
1902,Shu Todoroki,Cars (Franchise),ISTJ,11 Pdb Votes
1903,John Loomis,Z for Zachariah,ISTJ,2 Pdb Votes
1904,Ho,A Better Tomorrow (1986),ISTJ,7 Pdb Votes
1905,Wilbur,The Son of Bigfoot,XXXX,4 Pdb Votes
1906,Wang Baidan,Our Times (2015),XXXX,1 Pdb Vote
1907,Amauri,Até Que A Sorte Nos Separe,ISTJ,17 Pdb Votes
1908,Mitch,Patch Adams,ISTJ,8 Pdb Votes
1909,Gretel,Secret Magic Control Agency (SMCA),ISTJ,4 Pdb Votes
1910,Vulnavia,The Abominable Dr. Phibes,ISTJ,1 Pdb Vote
1911,Hayley Keller,Infierno bajo el agua,ISTJ,1 Pdb Vote
1912,Nigel,A Good Year (2006),ISTJ,1 Pdb Vote
1913,Bathilda Bagshot,Harry Potter / Wizarding World Films,ISTJ,21 Pdb Votes
1914,Little Bear,The Indian in The Cupboard,ISTJ,4 Pdb Votes
1915,Biaggio,The Kings Of Summer,ISTJ,8 Pdb Votes
1916,Marco,Nothing to Hide (Le Jeu),ISTJ,5 Pdb Votes
1917,Peter Lucian,The Sound of Silence,ISTJ,3 Pdb Votes
1918,Scott Russell,The Intruder (2019),ISTJ,8 Pdb Votes
1919,Samir,Janaan,ISTJ,1 Pdb Vote
1920,Supervisor J-3,Teen Spirit,ISTJ,2 Pdb Votes
1921,Allison Sawyer,Those Who Wish Me Dead (2021),XXXX,2 Pdb Votes
1922,Angie Garza,Spiral,ISTJ,1 Pdb Vote
1923,Cassie Zhen,A Babysitter's Guide to Monster Hunting (2020),ISTJ,4 Pdb Votes
1924,Ramses II,Exodus: Gods and Kings (2014),ISTJ,3 Pdb Votes
1925,Kaya,Krrish (Film Series),ISTJ,13 Pdb Votes
1926,Eddie Moscone,Midnight Run,ISTJ,12 Pdb Votes
1927,Bob,UHF,ISTJ,1 Pdb Vote
1928,Richard Fletcher,UHF,ISTJ,16 Pdb Votes
1929,Cam,The Little Mermaid (2018),INFP,8 Pdb Votes
1930,Abhimanyu,Student Of The Year,XXXX,1 Pdb Vote
1931,John Maclean,A River Runs Through It,ISTJ,4 Pdb Votes
1932,Vladimir Gromov,No Escapes (2020),ISTJ,8 Pdb Votes
1933,Dr.Bohra,Enthiran,ISTJ,5 Pdb Votes
1934,Lewis Skolnick,Revenge of the Nerds,ISTJ,2 Pdb Votes
1935,Alistair Pratt,Feardotcom (2002),ISTJ,2 Pdb Votes
1936,Captain Doug Rice,Weaponized,ISTJ,3 Pdb Votes
1937,Jack Simon,Weaponized,ISTJ,6 Pdb Votes
1938,Porter Nash,Blitz (2011),ISTJ,5 Pdb Votes
1939,João,Neighbouring Sounds (Som ao redor),ISTJ,6 Pdb Votes
1940,David Harris,The Stepfather (2009),ISTJ,2 Pdb Votes
1941,Dodo McNeill,Breaking the Waves (1996),ISTJ,13 Pdb Votes
1942,Pratap Bajpayee,Kahaani,ISTJ,3 Pdb Votes
1943,Anniyan,Anniyan,ISTJ,3 Pdb Votes
1944,Nandini,Anniyan,ISTJ,1 Pdb Vote
1945,Gideon Largeman,Garden State (2004),XXXX,1 Pdb Vote
1946,Mike Kowalski,"Ruben Brandt, Collector (2018)",ISTJ,0
1947,Müdür,Korkusuz Korkak (1979),ISTJ,0
1948,Richard Nixon,Nixon (1995),ISTJ,0
1949,Inspector Lestrade,Young Sherlock Holmes,ISTJ,0
1950,Vegan Police,Scott Pilgrim vs. the World (2010),ISTJ,10 Pdb Votes
1951,Eddie Valentine,The Rocketeer (1991),ISTJ,2 Pdb Votes
1952,Lothar,The Rocketeer (1991),ISTJ,2 Pdb Votes
1953,Terry,Eddie the Eagle (2016),ISTJ,1 Pdb Vote
1954,The Cranker Man,Before I Wake,XXXX,10 Pdb Votes
1955,Nada Lassard,Ratatouille (2007),ISTJ,17 Pdb Votes
1956,Martin,Vivarium,ISTJ,11 Pdb Votes
1957,Calvin Palmer Jr.,Barbershop (2002),XXXX,2 Pdb Votes
1958,Jang-Hyeok,Sweet & Sour,ISTJ,9 Pdb Votes
1959,Traude Krüger,4 Minutes,ISTJ,5 Pdb Votes
1960,Lt. Col. Jean Staquait,Tarzan (1999),ISTJ,11 Pdb Votes
1961,Sarah Robertson,Margin Call,ISTJ,4 Pdb Votes
1962,Chacko Master,Sphadikam,ISTJ,3 Pdb Votes
1963,Chief Furbank,Combat Wombat,ISTJ,2 Pdb Votes
1964,Lord Gastrous,Barbie Mariposa,XXXX,7 Pdb Votes
1965,Елена Юрьевна,Funny Friends,ISTJ,2 Pdb Votes
1966,Ирина Анакондовна,Funny Friends,ISTJ,2 Pdb Votes
1967,Kyle Pratt,Flightplan,ISTJ,4 Pdb Votes
1968,John Gaff,The Thin Red Line (1998),ISTJ,4 Pdb Votes
1969,Frank Martin,Transporter 2,ISTJ,3 Pdb Votes
1970,Kate Mercer,45 Years,ISTJ,2 Pdb Votes
1971,Cassandra Rains,Cube Zero (2004),ISTJ,2 Pdb Votes
1972,Boor,The Vanishing (2018),ESTP,1 Pdb Vote
1973,Ebi (dad),Persepolis (2007),ISTJ,15 Pdb Votes
1974,Marlin Whitmore,50 First Dates,ISTJ,3 Pdb Votes
1975,Monica,Mystery men (1999),ISTJ,1 Pdb Vote
1976,Edgar,Valentine’s Day (2010),ISTJ,2 Pdb Votes
1977,Captain Kate Hazeltine,Valentine’s Day (2010),ISTJ,7 Pdb Votes
1978,Griselda the Grievous,How to Train Your Dragon (Franchise),ISTJ,7 Pdb Votes
1979,B2 super battle droid,Star Wars,ISTJ,7 Pdb Votes
1980,B1 battle droid,Star Wars,ISTJ,104 Pdb Votes
1981,Lila,Quién te cantará (2018),ISTJ,4 Pdb Votes
1982,Damián,Magical Girl (2014),ISTJ,5 Pdb Votes
1983,Julian Marty,Blood Simple (1984),ISTJ,5 Pdb Votes
1984,John Kelly,Tom Clancy's Without Remorse (2021),ISTJ,7 Pdb Votes
1985,Agathe Longchamp,Tom at The Farm (2013),ISTJ,3 Pdb Votes
1986,Mlynář,Princezna ze mlejna (1994),ISTJ,4 Pdb Votes
1987,Donald Marium,Hold The Dark (2018),ISTJ,1 Pdb Vote
1988,Elizabeth Boleyn,Anne Of The Thousand Days,ISTJ,1 Pdb Vote
1989,Ed,Extinct (2021),ISTJ,10 Pdb Votes
1990,Hans,Munich (2005),ISTJ,1 Pdb Vote
1991,Gazooks,Raggedy Ann & Andy: A Musical Adventure (1977),ISTJ,1 Pdb Vote
1992,Queasy,Raggedy Ann & Andy: A Musical Adventure (1977),ISTJ,5 Pdb Votes
1993,Ambrosia,Merlin (1998 Miniseries),ISTJ,1 Pdb Vote
1994,Ирина Анатольевна,Funny Friends,ISTJ,17 Pdb Votes
1995,Natalie Anderson,License to Drive (1988),ISTJ,21 Pdb Votes
1996,Rudy Baylor,The Rainmaker (1997),ISTJ,6 Pdb Votes
1997,Charles,Her (2013),ISTJ,22 Pdb Votes
1998,Raghavan Singh Dutta,Main Hoon Na (2004),ISTJ,0
1999,Akima Kunimoto,Titan A.E.,ISTJ,0
2000,Yaksha,New Gods: Nezha Reborn (2021),ISTJ,4 Pdb Votes
2001,Eric,The Mitchells vs. the Machines (2021),ISTJ,55 Pdb Votes
2002,Yuki (Lady Snowblood),Lady Snowblood (Shurayukihime),ISTJ,15 Pdb Votes
2003,Boss Goon,Wish Dragon (2021),ISTJ,29 Pdb Votes
2004,Marcos,"Te quiero, imbécil",ISTJ,1 Pdb Vote
2005,Germán,Tini: El Gran Cambio De Violetta,ISTJ,2 Pdb Votes
2006,Hubert Fiorentini,Wasabi,ISTJ,17 Pdb Votes
2007,Frank,Return Of The Living Dead,ISTJ,1 Pdb Vote
2008,Pai (arquétipo),Meteorango Kid,ISTJ,28 Pdb Votes
2009,Mr. James Stevens,The Remains of the Day (1993),ISTJ,6 Pdb Votes
2010,Bing,Plan Bee (2007),ISTJ,3 Pdb Votes
2011,Nexusis,Asterix and Obelix (Franchise),ISTJ,7 Pdb Votes
2012,Anticlimax,Asterix and Obelix (Franchise),ISTJ,44 Pdb Votes
2013,Miss Macintosh,Asterix and Obelix (Franchise),ISTJ,2 Pdb Votes
2014,Kareem Abdul Lavash,Sausage Party (2016),ISTJ,3 Pdb Votes
2015,Hiyo numata,Yokai Sharehouse,ISTJ,12 Pdb Votes
2016,Hibito Harashima,Yokai Sharehouse,ISTJ,7 Pdb Votes
2017,Nathan Wright,Love & Basketball (2000),ISTJ,10 Pdb Votes
2018,Nadine Krüger,Soul Kitchen,XXXX,1 Pdb Vote
2019,Ned Fleming,Why Him?,ISTJ,11 Pdb Votes
2020,Meera Rao,Big Bull,ISTJ,1 Pdb Vote
2021,Kuto,Night in Paradise,ISTJ,3 Pdb Votes
2022,Sharon,Instant Family,ISTJ,11 Pdb Votes
2023,John James Ruskin,Effie Gray (2014),XXXX,2 Pdb Votes
2024,John Ruskin,Effie Gray (2014),ISTJ,2 Pdb Votes
2025,Dr. Richard Hartmann,Willkommen bei den Hartmanns,ISTJ,1 Pdb Vote
2026,Sloan Hopkins,Bamboozled,ISTJ,62 Pdb Votes
2027,Gus Matthews,The Benchwarmers,ISTJ,7 Pdb Votes
2028,Ikeda,Noriko's Dinner Table(2006),ISTJ,3 Pdb Votes
2029,Tetsuzo Shimahara,Noriko's Dinner Table(2006),ISTJ,2 Pdb Votes
2030,Ryan Whittaker,Final Fantasy: The Spirits Within,ISTJ,11 Pdb Votes
2031,King Frederic,Tangled (2010),ISTJ,35 Pdb Votes
2032,Phoebe,Voyagers,ISTJ,25 Pdb Votes
2033,Zumi,Ainbo: Spirit of the Amazon (2021),ISTJ,46 Pdb Votes
2034,Ying Zi,The Chinese Widow (Feng huo fang fei) (2017),ISTJ,3 Pdb Votes
2035,Tracy Reynolds,Like Mike (2002),ISTJ,13 Pdb Votes
2036,Tim Stark,Zero to Hero,ISTJ,2 Pdb Votes
2037,Queen Adrienne,Barbie and the Secret Door,ISTJ,1 Pdb Vote
2038,Kung Lao,Mortal Kombat (2021 film),ISTJ,1 Pdb Vote
2039,Sonya Blade,Mortal Kombat (2021 film),ISTJ,2 Pdb Votes
2040,Sub-Zero / Bi-Han,Mortal Kombat (2021 film),ISTJ,3 Pdb Votes
2041,Doolittle,Dark Star,XXXX,13 Pdb Votes
2042,Sierra,The Land Before Time (1988),XXXX,0
2043,kenichi,Kamisama no Iutoori,ISTJ,0
2044,sumire,grasshopper,ISTJ,0
2045,asagao,grasshopper,ISTJ,0
2046,Deepak Mehta,The Emperor's Club (2002),ISTJ,0
2047,Maud Bailey,Possession (2002),ISTJ,0
2048,Tom Hartman,The wild river (1994),XXXX,0
2049,Shun Izaki,Crows Zero (2007),ISTJ,0
2050,Sheila Wynne,The Courier (2021),ISTJ,2 Pdb Votes
2051,Dr. Lilian Thurman,Donnie Darko (2001),ISTJ,26 Pdb Votes
2052,Tracy Safian,Malice (1993),ISTJ,2 Pdb Votes
2053,Tert Card,The Shipping News,ISTJ,1 Pdb Vote
2054,Joey Cullen,Exposed (2016),ISTJ,1 Pdb Vote
2055,Robert 'Bobby' Starkman,American Psycho 2,XXXX,7 Pdb Votes
2056,Inya,Hostel 2 (2007),ISTJ,2 Pdb Votes
2057,Desk Clerk Jedi,Hostel (2005),ISTJ,2 Pdb Votes
2058,The German Surgeon,Hostel (2005),ISTJ,4 Pdb Votes
2059,Smoothie Shop Healthcare Worker Customer,Bad Trip (2020),ISTJ,4 Pdb Votes
2060,Henry O'Hare,Hop,ISTJ,2 Pdb Votes
2061,Tyla,Waiting... (2005),ISTJ,2 Pdb Votes
2062,Merk,Two Distant Strangers,ISTJ,3 Pdb Votes
2063,Dr. Joshua Larabee,Akeelah and the Bee,XXXX,9 Pdb Votes
2064,Master Sinh,Fantastic Planet (1973),ISTJ,1 Pdb Vote
2065,Sheriff Dave Newsome,Secret Window (2004),ISTJ,4 Pdb Votes
2066,Massimo Marcovaldo,Luca (2021),ISTJ,333 Pdb Votes
2067,Annas,The Passion of the Christ,ISTJ,5 Pdb Votes
2068,Duane Corcoran,The Heartbreak Kid,XXXX,1 Pdb Vote
2069,Larry Gopnik,A Serious Man (2009),ISTJ,27 Pdb Votes
2070,Sting,Bee Movie (2007),ISTJ,16 Pdb Votes
2071,Zanik Hightop,Alice in Wonderland / Through the Looking Glass (2010 - 2016),ISTJ,6 Pdb Votes
2072,Herrena,The Color Of Magic (2008 Television Film),ISTJ,1 Pdb Vote
2073,Jane,The Assistant,ISTJ,7 Pdb Votes
2074,Rincewind,The Color Of Magic (2008 Television Film),ISTJ,2 Pdb Votes
2075,Othello,Othello (1995 film),ISTJ,5 Pdb Votes
2076,Orhan,Senin Hikayen,ISTJ,1 Pdb Vote
2077,Esra,Senin Hikayen,ISTJ,2 Pdb Votes
2078,Ali,Angst eesen Seele auf (1974),ISTJ,6 Pdb Votes
2079,Rajesh,Hum Aapke Hain Koun,ISTJ,3 Pdb Votes
2080,Vince Rizzo,City Island (2009),ISTJ,1 Pdb Vote
2081,Chiara Callegri,BIA: Un Mundo Al Revés (2021),ISTJ,16 Pdb Votes
2082,Col. Craig Harriman,Memphis Belle (1990),ISTJ,1 Pdb Vote
2083,Captain Dennis Dearborn,Memphis Belle (1990),ISTJ,1 Pdb Vote
2084,Kōsei Arima,Your Lie in April (2016),ISTJ,7 Pdb Votes
2085,Monsieur,La Noire De (1966),ISTJ,6 Pdb Votes
2086,Riff Raff,The Rocky Horror Picture Show (2016),ISTJ,1 Pdb Vote
2087,Norbert,Párty Hárd (2019),ISTJ,2 Pdb Votes
2088,Petr Král,Párty Hárd (2019),ISTJ,2 Pdb Votes
2089,Stan The Fishman,Hotel Transylvania (2012),XXXX,25 Pdb Votes
2090,Pandora,Psycho Goreman,ISTJ,3 Pdb Votes
2091,Judge Edward Szymczyk,Mister America,ISTJ,21 Pdb Votes
2092,Viktor Drago,Creed (Franchise),ISTJ,50 Pdb Votes
2093,Casey Davies,The Art of Self-Defense,ISTJ,6 Pdb Votes
2094,Becca Mansell,Nobody (2021),ISTJ,5 Pdb Votes
2095,Lifeguard Bot,WALL-E (2008),ISTJ,6 Pdb Votes
2096,D-FIB,WALL-E (2008),ISTJ,2 Pdb Votes
2097,SUPPLY-R,WALL-E (2008),ISTJ,8 Pdb Votes
2098,Cliff Robertson,The Dead Don't Die (2019),ISTJ,12 Pdb Votes
2099,Tom Morrison,Deadly Illusions (2021),ISTJ,0
2100,Pan učitel,Fimfárum Jana Wericha (2002),ISTJ,3 Pdb Votes
2101,Hospodský,Fimfárum Jana Wericha (2002),ISTJ,2 Pdb Votes
2102,Čupera,Fimfárum Jana Wericha (2002),ISTJ,2 Pdb Votes
2103,"Bernard ""Bernie"" Webber",The Finest Hours,ISTJ,7 Pdb Votes
2104,Hannah,Little Women (2019),ISTJ,9 Pdb Votes
2105,Vadim Nezhinski,We Own the Night (2007),XXXX,1 Pdb Vote
2106,Hibernius Tall,Cirque du Freak: The Vampire's Assistant (2009),ISTJ,7 Pdb Votes
2107,Dr. Elizabeth Simms,A Nightmare on Elm Street (Franchise),ISTJ,8 Pdb Votes
2108,Istvàn,Malmkrog,ISTJ,4 Pdb Votes
2109,Mao Liang,Suddenly Seventeen,ISTJ,4 Pdb Votes
2110,Black Bart,The Sword in the Stone (1963),ISTJ,2 Pdb Votes
2111,Mieczysław Klonisz,Kiler (1997),ISTJ,5 Pdb Votes
2112,Midas,Real Steel (2011),ISTJ,4 Pdb Votes
2113,Dr. Xavier Fitch,Species,ISTJ,1 Pdb Vote
2114,Ray,Face (1997),XXXX,6 Pdb Votes
2115,Henry Weston,Mr. Magorium's Wonder Emporium (2007),ISTJ,6 Pdb Votes
2116,Polly,Pollyanna (1960),ISTJ,19 Pdb Votes
2117,Alexander,Barbie and the Three Musketeers (2009),ISTJ,11 Pdb Votes
2118,Adam,Rumah Dara (Macabre),ISTJ,12 Pdb Votes
2119,Annabel Banks,Mary Poppins Returns (2018),ISTJ,9 Pdb Votes
2120,Peter,A Lot Like Love (2005),ISTJ,1 Pdb Vote
2121,Mimi Smith,Nowhere Boy (2009),ISTJ,5 Pdb Votes
2122,Donald Crease,Sneakers (1992),ISTJ,1 Pdb Vote
2123,Nagaina,Rikki-Tikki-Tavi,ISTJ,1 Pdb Vote
2124,Bep,HartenStraat,ISTJ,60 Pdb Votes
2125,Wesley,HartenStraat,ISTJ,5 Pdb Votes
2126,Heathcliff,Big Hero 6 (2014),ISTJ,1 Pdb Vote
2127,Mary Goodwin,Proud Mary (2018),ISTJ,10 Pdb Votes
2128,Monsieur Reyer,The Phantom of the Opera (2004),XXXX,26 Pdb Votes
2129,Richard Firmin,The Phantom of the Opera (2004),ISTJ,16 Pdb Votes
2130,David Grossman,The Bad Seed (2018),ISTJ,7 Pdb Votes
2131,Gavrila Sheremetev,Gentlemen of Fortune (1971),ISTJ,1 Pdb Vote
2132,John Taggart,Beverly Hills Cop (1984-1994),ISTJ,8 Pdb Votes
