,id,person_mbti,mbti_test,character,movie
774,24,INTP,16Personalities,Dirk Burton , Left Behind
274,24,INTP,16Personalities,Lord Tewksbury , Enola Holmes
275,25,ISFP,Personality Max,Alice Cullen,Twilight
150,25,ISFP,Personality Max,Luna Lovegood,Harry Potter and the Order of the Phoenix
400,25,ISFP,Personality Max,Rapunzel,Tangled
25,25,ISFP,Personality Max,Cedric Diggory,Harry Potter and the Goblet of Fire
26,26,INTP,Cognitive functions self-typing,Sonic,Sonic the Hedgehog
151,26,INTP,Cognitive functions self-typing,Kyojuro Rengoku,Demon Slayer Mugen Train
276,26,INTP,Cognitive functions self-typing,Enjolras,Les Miserables
401,26,INTP,Cognitive functions self-typing,Gavroche,Les Miserables
402,27,ISTP,Cognitive functions self-typing,Shrek , Shrek
27,27,ISTP,Cognitive functions self-typing,Katniss Everdeen , The Hunger Games Trilogy
652,27,ISTP,Cognitive functions self-typing,Kate Dibiasky , Don't Look Up 
152,27,ISTP,Cognitive functions self-typing,John Wick , John Wick
277,27,ISTP,Cognitive functions self-typing,Jace Wayland , The Mortal Instruments: City of Bones
777,27,ISTP,Cognitive functions self-typing,Levi Ackerman , Attack on Titan
527,27,ISTP,Cognitive functions self-typing,Fa Mulan , Mulan
278,28,INTP,16Personalities,Neo , The Matrix
403,28,INTP,16Personalities,Luna Lovegood,Harry Potter and the Order of the Phoenix
153,28,INTP,16Personalities,Hiccup , How to train your dragon
28,28,INTP,16Personalities,Sherlock Holmes ,  Sherlock Holmes
654,29,INFJ,16Personalities,Elio,Call Me by Your Name
279,29,INFJ,16Personalities,President Snow,The Hunger Games: The Ballad of Songbirds & Snakes
29,29,INFJ,16Personalities,Captain America,Captain America: The First Avenger
529,29,INFJ,16Personalities,Sophie,Aftersun
404,29,INFJ,16Personalities,Calum,Aftersun
154,29,INFJ,16Personalities,Beatrice Prior,Divergent
280,30,INTJ,16Personalities,anakin skywalker,Star Wars: Episode I - The Phantom Menace
405,30,INTJ,16Personalities,Simba,Lion king
155,30,INTJ,16Personalities,jack sparrow, pirates of the carribean
655,30,INTJ,16Personalities,Nathan Algren, last samurai
530,30,INTJ,16Personalities,Bruce Wayne, Batman Returns
30,30,INTJ,16Personalities,Aragorn, lord of the rings
1031,31,INTJ,16Personalities,Luna Lovegood,Harry Potter and the Order of the Phoenix
531,31,INTJ,16Personalities,Jack Frost,Rise of the Guardians
281,31,INTJ,16Personalities,Dr Strange,Doctor Strange
406,31,INTJ,16Personalities,Mavis Dracula,Hotel Transylvania 
906,31,INTJ,16Personalities,Neteyam,Avatar: The Way of Water
656,31,INTJ,16Personalities,Akaza,Demon Slayer: Kimetsu no Yaiba – The Movie: Mugen Train.
156,31,INTJ,16Personalities,Spiderman,Spider-Man: Far From Home
781,31,INTJ,16Personalities,Yuta Okkotsu,Jujutsu Kaisen 0
31,31,INTJ,16Personalities,Camilo Madrigal,Encanto
907,32,INFP,16Personalities,Cameron , Ten things I hate about you
657,32,INFP,16Personalities,Edward Scissorhands,Edward Scissorhands
157,32,INFP,16Personalities,Joker , Joker (2019)
282,32,INFP,16Personalities,Chihiro , Spirited away
1032,32,INFP,16Personalities,Ellis , Shawshank Redemption 
1157,32,INFP,16Personalities,Brian , Breakfast Club
532,32,INFP,16Personalities,Luna Lovegood , Harry Potter 
782,32,INFP,16Personalities,Howl , Howl the moving castle
407,32,INFP,16Personalities,Karen Smith , Mean Girls
32,32,INFP,16Personalities,Charlie , Perks of being a wallflower
283,33,INTP,16Personalities,Gru, despicable me
658,33,INTP,16Personalities,Dr strange, dr strange 
33,33,INTP,16Personalities,Willy wonka, Charlie and the chocolate factory 
158,33,INTP,16Personalities,Harley Quinn, Birds of prey
533,33,INTP,16Personalities,Baymax, baymax
408,33,INTP,16Personalities,Haku, sprited away
534,34,INTJ,16Personalities,Isabela Madrigal,Encanto
159,34,INTJ,16Personalities,Emma Woodhouse,Emma 2020
659,34,INTJ,16Personalities,Katniss Everdeen,Hunger Games
34,34,INTJ,16Personalities,Tony Stark,Avengers: Endgame
284,34,INTJ,16Personalities,Flynn Rider,Tangled
409,34,INTJ,16Personalities,Mulan,Mulan
160,35,ISTP,16Personalities,John Wick,John Wick
410,35,ISTP,16Personalities,Mizu,Blue Eye Samurai
35,35,ISTP,16Personalities,Po,Kung Fu Panda
285,35,ISTP,16Personalities,Ip Kai Man,Ip Man
36,36,ISTP,16Personalities,Wanda Maximoff,Avengers: Infinity War
286,36,ISTP,16Personalities,Raven,Teen Titans
536,36,ISTP,16Personalities,Bellatrix Lestrange,Harry Potter and the Deathly Hallows II
161,36,ISTP,16Personalities,Luna Lovegood,Harry Potter and the Order of The Phoenix 
411,36,ISTP,16Personalities,Disgust,Inside Out
162,37,INFJ,16Personalities,Amy Dunne , Gone Girl
287,37,INFJ,16Personalities,Cruella de Vil , Cruella
537,37,INFJ,16Personalities,Beatrice Prior , Divergent 
37,37,INFJ,16Personalities,Andy , The Devil Wears Prada
412,37,INFJ,16Personalities,Mia, La la land
288,38,INFJ,16Personalities,Ofelia,Pan's Labyrinth 
413,38,INFJ,16Personalities,Maximus,Gladiator 
38,38,INFJ,16Personalities,Howl,Howl's Moving Castle
163,38,INFJ,16Personalities,Paul Atreides,Dune
39,39,INTP,16Personalities,Professor Langdon,The Da Vinci Code
289,39,INTP,16Personalities,Master Oogway,Kung Fu Panda
164,39,INTP,16Personalities,Evelyn Salt, SALT
414,39,INTP,16Personalities,Suzume Iwato,Suzume no Tojimari
415,40,INTP,michaelcaloz.com,bowser, the mario movie
40,40,INTP,michaelcaloz.com,captain underpants, captain underpants the first epic tale
290,40,INTP,michaelcaloz.com,spider-punk, across the spiderverse
165,40,INTP,michaelcaloz.com,iron man, endgame
416,41,INFJ,16Personalities,Sasha Tran,Always Be My Maybe
666,41,INFJ,16Personalities,Lucy,Two Weeks Notice
166,41,INFJ,16Personalities,Yas,Rye Lane
916,41,INFJ,16Personalities,Emily/Corpse Bride,
41,41,INFJ,16Personalities,Alice,Plus One
291,41,INFJ,16Personalities,Arthur,Past Lives
