char,movie,mbti,votes
Ray Singh,The Lovely Bones (2009),INFP,23 Pdb Votes
Sherwin,In a Heartbeat (2017),INFP,82 Pdb Votes
"Eloise ""Ellie"" Turner",Last Night in Soho (2021),INFP,378 Pdb Votes
Leo San Juan,La Leyenda de la Nahuala,INFP,92 Pdb Votes
Emma Morley,One Day (2011),INFP,132 Pdb Votes
Joel Dawson,Love and Monsters (2020),INFP,271 Pdb Votes
Jamie Bartlett,Read it and Weep (2006),INFP,13 Pdb Votes
Fire Lord Ozai,The Last Airbender (2010),INFP,54 Pdb Votes
Vincent van Gogh,At Eternity's Gate (2018),INFP,30 Pdb Votes
Tristan Thorn,Stardust (2007),INFP,71 Pdb Votes
George Zinavoy,The Art Of Getting By,INFP,62 Pdb Votes
Joe Bonham,Johnny Got His Gun (1971),INFP,14 Pdb Votes
Annie Cresta,The Hunger Games (Franchise),INFP,150 Pdb Votes
Ishaan Awasthi,Taare Zameen Par (Like Stars On Earth),INFP,167 Pdb Votes
Leila Williams,Fifty Shades of Grey (2015),INFP,51 Pdb Votes
Terry,Monsters University (2013),INFP,43 Pdb Votes
Big-Nose Thug,Tangled (2010),INFP,55 Pdb Votes
Soren,Legend of the Guardians: The Owls of Ga'Hoole,XXXX,129 Pdb Votes
He Qiwu/Cop 223,Chungking Express (1994),INFP,254 Pdb Votes
Eugenia “Skeeter” Phelan,The Help (2011),INFP,184 Pdb Votes
Melinda Sordino,Speak (2004),INFP,430 Pdb Votes
"William ""Will"" Thacker",Notting Hill (1999),INFP,138 Pdb Votes
Mariposa,Barbie Mariposa,INFP,429 Pdb Votes
Sylvia Weis,In Time (2011),INFP,83 Pdb Votes
Elena Houghlin,Charlie's Angels (2019),INFP,93 Pdb Votes
Traudl Junge,Downfall (2004),INFP,39 Pdb Votes
Christine Daaé,The Phantom of the Opera (2004),INFP,146 Pdb Votes
Mandella,10 Things I Hate About You (1999),INFP,164 Pdb Votes
Maurice Hall,Maurice (1987),INFP,106 Pdb Votes
Margu,Klaus (2019),INFP,90 Pdb Votes
Maxine “Max” Coleman,Orphan (2009-2022),INFP,114 Pdb Votes
Lisa Hesselman,Anomalisa (2015),INFP,42 Pdb Votes
Su-an,Train to Busan (2016),INFP,124 Pdb Votes
Elsa Korr,Jojo Rabbit (2019),INFP,334 Pdb Votes
Max,The Adventures of Sharkboy and Lavagirl (2005),INFP,258 Pdb Votes
Mumble,Happy Feet (2006-2011),INFP,96 Pdb Votes
Gillian De Raisx / Death Nell,Sex and Death 101 (2007),XXXX,4 Pdb Votes
Penny,Bolt (2008),INFP,133 Pdb Votes
Rapunzel,Barbie As Rapunzel (2002),INFP,185 Pdb Votes
Brian Kadeem,Hot Wheels World Race / AcceleRacers,INFP,23 Pdb Votes
Jack Malik,Yesterday (2019),INFP,56 Pdb Votes
Suzy Bishop,Moonrise Kingdom (2012),INFP,441 Pdb Votes
Grandpa Joe,Charlie and the Chocolate Factory (2005),INFP,224 Pdb Votes
Sybill Trelawney,Harry Potter / Wizarding World Films,INFP,433 Pdb Votes
Madison Russell,MonsterVerse,INFP,48 Pdb Votes
Jamie Sullivan,A Walk to Remember (2002),INFP,199 Pdb Votes
Lee Flynn,The Kissing Booth (Film Trilogy),INFP,302 Pdb Votes
Lenny,Shark Tale (2004),INFP,89 Pdb Votes
Bastian Balthazar Bux,The Neverending Story (1984),INFP,84 Pdb Votes
Phillip Morgan,Rope (1948),INFP,94 Pdb Votes
