char,movie,mbti,votes
"Katherine ""Kit""",Failure to Launch,ISTP,26 Pdb Votes
Josh,Safe Haven,ISTP,6 Pdb Votes
Rattlesnake Jake,Rango,ISTP,151 Pdb Votes
Miho,Sin City (franchise),ISTP,24 Pdb Votes
Kale,Sinbad: Legend of the Seven Seas (2003),XXXX,30 Pdb Votes
"Elizabeth ""Zee""",Monster House (2006),ISTP,79 Pdb Votes
Captain Nathan Algren,The Last Samurai (2003),XXXX,123 Pdb Votes
"""Jiro"" Masatora Ichimonji",Ran (1985),ISTP,9 Pdb Votes
Will Salas,In Time (2011),ISTP,110 Pdb Votes
Eddie Valiant,Who Framed Roger Rabbit (1988),ISTP,85 Pdb Votes
Archibald Cunningham,Rob Roy (1995),ISTP,22 Pdb Votes
Detective Loki,Prisoners (2013),ISTP,437 Pdb Votes
Ironhide,Transformers (Bayverse),ISTP,79 Pdb Votes
Jill Valentine,Resident Evil,ISTP,56 Pdb Votes
Frank 'The Irishman' Sheeran,The Irishman (2019),ISTP,182 Pdb Votes
Ken Miles,Ford v Ferrari / Le Mans '66 (2019),ISTP,123 Pdb Votes
Jang Kyung-chul,I Saw the Devil (2010),ISTP,107 Pdb Votes
Danny Archer,Blood Diamond (2006),ISTP,82 Pdb Votes
Jordan Baker,The Great Gatsby (2013),ISTP,168 Pdb Votes
The Witch-king of Angmar,The Lord of the Rings (Film Trilogy),ISTP,130 Pdb Votes
Finn McMissile,Cars (Franchise),ISTP,119 Pdb Votes
Hugh Glass,The Revenant (2015),ISTP,176 Pdb Votes
Harry Lime,Home Alone,ISTP,251 Pdb Votes
Selene,Underworld,ISTP,98 Pdb Votes
George Nada,They Live (1988),ISTP,76 Pdb Votes
Vincent,Collateral (2004),ISTP,393 Pdb Votes
Billy Sole,Predator,ISTP,50 Pdb Votes
Thumper,The Butterfly Effect (2004),ISTP,32 Pdb Votes
Elvira Hancock,Scarface (1983),ISTP,290 Pdb Votes
Richard,Dead Man's Shoes (2004),ISTP,37 Pdb Votes
Lou Miller,Ocean's 8 (2018),ISTP,178 Pdb Votes
John McClane,Die Hard,ISTP,267 Pdb Votes
Deckard Shaw,The Fast and the Furious (Film Franchise),ISTP,161 Pdb Votes
John Constantine,Constantine (2005),ISTP,250 Pdb Votes
Merryweather,Sleeping Beauty (1959),ISTP,206 Pdb Votes
Ellis Boyd “Red” Redding,The Shawshank Redemption (1994),ISTP,357 Pdb Votes
Rick Blaine,Casablanca (1942),ISTP,129 Pdb Votes
Happy Gilmore,Happy Gilmore (1996),ISTP,92 Pdb Votes
Vincent Vega,Pulp Fiction (1994),ISTP,765 Pdb Votes
Dr. Alan Grant,Jurassic Park / Jurassic World (Film Franchise),ISTP,356 Pdb Votes
Minho,The Maze Runner (Film Trilogy),ISTP,297 Pdb Votes
Mr. Boddy,Clue (1985),ISTP,27 Pdb Votes
James Bond (Archetype),James Bond Film Series,ISTP,418 Pdb Votes
Giovana Castro,Os Huios,XXXX,1 Pdb Vote
Bhalu the Bear,Monkey Man (2024),XXXX,1 Pdb Vote
Antoine Godin,Café de Flore,XXXX,1 Pdb Vote
Pavel,The Beast Must Die (1974),ISTP,10 Pdb Votes
Snake Walker ( Frog Killer ),The Muppet Movie (1979),XXXX,1 Pdb Vote
"Valentine ""Snakeskin"" Xavier",The Fugitive Kind (1960),ISTP,2 Pdb Votes
Freddy Alvarez,The Ministry of Ungentlemanly Warfare (2024),ISTP,2 Pdb Votes
Miss Meacham,Separate Tables (1958),XXXX,1 Pdb Vote
Kid Darkness,Step Up 3D,ESTP,1 Pdb Vote
Lucas D. Mecina,My Friends,ISTP,10 Pdb Votes
Wesley Winfield,On Moonlight Bay (series),XXXX,4 Pdb Votes
Yuri Ozone,Revolver Lily,ISTP,10 Pdb Votes
Steve,Lord of the Flies (1990),XXXX,1 Pdb Vote
Patterson,Lord of the Flies (1990),ISFP,1 Pdb Vote
Roger,Lord of the Flies (1990),XXXX,1 Pdb Vote
Axe,Playing with Fire,XXXX,1 Pdb Vote
Selvaraj,Abraham Ozler (2024),ISTP,2 Pdb Votes
Amy,Lowlifes (2024),XXXX,1 Pdb Vote
Herman Tommeraas,World of Walker,XXXX,2 Pdb Votes
Kodumon Potti's cook,Bramayugam (2024),ISTP,2 Pdb Votes
Otomo,Outrage,ISTP,10 Pdb Votes
Ray,Deliver Us from Evil,XXXX,1 Pdb Vote
Kim In-nam,Deliver Us from Evil,XXXX,1 Pdb Vote
Peter Banat,Journey into Fear (1943),ISTP,11 Pdb Votes
Zoe Hughes (Young),The Devil You Know (2013),XXXX,1 Pdb Vote
Han Do-kyung,Asura: The City of Madness,ISTP,8 Pdb Votes
Kaulder (The Witch Hunter),The Last Witch Hunter (2015),ISTP,3 Pdb Votes
Buttercup,The Powerpuff Girls Movie (2002),ISTP,1 Pdb Vote
Azazello,The Master and Margarita (2024),ISTP,7 Pdb Votes
Steward,Poor Things,ISTP,2 Pdb Votes
Danny,Leave the World Behind,ISTP,56 Pdb Votes
Deva,K.G.F (Series),ISTP,13 Pdb Votes
Aline Ruby,Mars Express,ISTP,3 Pdb Votes
Little Debbie,Wreck-It Ralph (Franchise),XXXX,5 Pdb Votes
Kannan,Vada Chennai,ISTP,3 Pdb Votes
Joshua ,The Creator (2023),ISTP,32 Pdb Votes
Bertram,Barbie and the Three Musketeers (2009),ISTP,3 Pdb Votes
