char,movie,mbti,votes
Howard 'Red' Stevens,The Ultimate Gift (2006),XXXX,1 Pdb Vote
Eibhlín Kinsella,The Quiet Girl (2022),INFJ,17 Pdb Votes
Dell Conagher,EMESIS BLUE,INFJ,17 Pdb Votes
"Fritz ""Dr. Ludwig"" Ludwig",EMESIS BLUE,INFJ,71 Pdb Votes
Captain EO,Captain EO (1986),INFJ,6 Pdb Votes
Mandy Lane,All the Boys Love Mandy Lane,XXXX,12 Pdb Votes
Metin,İncir Reçeli,INFJ,10 Pdb Votes
Saeed,Holy Spider (2022),INFJ,15 Pdb Votes
Cameron,Fathers and Daughters,INFJ,3 Pdb Votes
Concerned guy,Encanto (2021),INFJ,14 Pdb Votes
Brian Wilson,Love & Mercy,INFJ,9 Pdb Votes
Sienna Shaw,Terrifier,INFJ,78 Pdb Votes
Dorian,The Perfumier,XXXX,5 Pdb Votes
Elsa,The Boy in the Striped Pajamas (2008),INFJ,22 Pdb Votes
Rose Cotter,Smile,INFJ,154 Pdb Votes
Poong Woon-Ho,20th Century Girl (2022),INFJ,199 Pdb Votes
James,Fall (2022),INFJ,19 Pdb Votes
Priest of Ambricourt ,Diary of a Country Priest (1951) (Journal d'un curé de campagne),INFJ,6 Pdb Votes
beth moss ,sharing the secret,INFJ,9 Pdb Votes
Dr. Robert Elliott,Dressed to kill (1980),XXXX,1 Pdb Vote
Kekata,Pocahontas (1995),INFJ,10 Pdb Votes
Camille,"Un cœur en hiver (A Heart in Winter, 1992)",INFJ,4 Pdb Votes
Anne Elliot,Persuasion (2022),INFJ,200 Pdb Votes
Eisenheim The Illusionist / Eduard Abramovich,The Illusionist,INFJ,71 Pdb Votes
Victoras,The Man with the Answers,XXXX,4 Pdb Votes
"Peyton Westlake ""Darkman""",Darkman (1990),INFJ,25 Pdb Votes
Sheev Palpatine (His facade),Star Wars,INFJ,148 Pdb Votes
Priscilla Presley,Elvis (2022),INFJ,66 Pdb Votes
Jennifer Hills,I Spit On Your Grave (Franchise),INFJ,31 Pdb Votes
Kengo Kosaka,Parasite in Love (2019),INFJ,22 Pdb Votes
Nancy,The Shallows (2016),INFJ,30 Pdb Votes
Sōta Koyurugi (小動 爽太),Shitsuren Chocolatier ( 失恋ショコラティエ ),INFJ,5 Pdb Votes
Svyatozar,The Last Bogatyr (trilogy),INFJ,2 Pdb Votes
Jolene,Jolene (2008),INFJ,2 Pdb Votes
Thomas,The Royal Treatment,INFJ,15 Pdb Votes
Javad javadi,Bache mohandes,XXXX,10 Pdb Votes
Atlas,It Ends with Us,INFJ,5 Pdb Votes
Ice Princess,The Adventures of Sharkboy and Lavagirl (2005),INFJ,26 Pdb Votes
Loki,Thor: Ragnarok ( 2017),INFJ,10 Pdb Votes
Harriet Tubman 'Minty',Harriet (2019),INFJ,28 Pdb Votes
Oliver,Beginners (2010),INFJ,12 Pdb Votes
Kid with a frog toy,Klaus (2019),INFJ,27 Pdb Votes
Greta Hideg,Greta (2018),INFJ,22 Pdb Votes
Carla Dean,Enemy of the state,XXXX,1 Pdb Vote
Abagail Trant,The Man in the Moon (1991),ISTP,1 Pdb Vote
Kazuaki,"Wheel of Fortune and Fantasy (2021, 偶然と想像)",INFJ,7 Pdb Votes
Courtney,Flatliners 2017,XXXX,10 Pdb Votes
Kira,Hanagatami,XXXX,7 Pdb Votes
Kim Joon-ki,Innocent Thing (2014),INFJ,8 Pdb Votes
Leatherbeak,Free Birds (2013),INFJ,5 Pdb Votes
İrfan Bey,Recep İvedik 4,XXXX,6 Pdb Votes
Bill Fordham,August: Osage County (2013),INFJ,9 Pdb Votes
Beverly Weston,August: Osage County (2013),INFJ,11 Pdb Votes
Roop Dev Chaudhry,Kalank (2019),INFJ,10 Pdb Votes
Marguerite de Carrouges,The Last Duel (2021),INFJ,53 Pdb Votes
Megha Shankar,Mohabbatein (2000),INFJ,21 Pdb Votes
Ann Defrasnoux,Annette (2021),INFJ,27 Pdb Votes
Slim Hiller,Enough (2002),INFJ,22 Pdb Votes
Igawa Shun,His: I Didn’t Think I Would Fall in Love (2020),INFJ,16 Pdb Votes
Lord Mayor,Yellow Submarine (1968),INFJ,4 Pdb Votes
David Kim,Searching (2018),INFJ,23 Pdb Votes
Veronica Gorloisen,The Sorcerer’s Apprentice (2010),INFJ,3 Pdb Votes
Liya,Throne Of Elfes,INFJ,4 Pdb Votes
Rob Hilliard,Grown Ups,INFJ,31 Pdb Votes
Ronnie ‘Sunshine’ Bass,Remember the Titans,INFJ,6 Pdb Votes
Jean Valjean,Les Miserables (2012),INFJ,82 Pdb Votes
Anna Ivers,The Uninvited (2009),INFJ,23 Pdb Votes
Evangeline,The Princess and the Frog (2009),INFJ,148 Pdb Votes
Socrates,Peaceful Warrior (2006),INFJ,9 Pdb Votes
John the Baptist,The Last Temptation of Christ (1988),INFJ,3 Pdb Votes
Jane Harper,The Quiet Ones (2014),ESTP,2 Pdb Votes
Su Junzhu,New Gods: Nezha Reborn (2021),INFJ,22 Pdb Votes
Frieda,Die wilden Hühner (2006),INFJ,29 Pdb Votes
Charlie,Rio (2011),INFJ,41 Pdb Votes
Beverly Penn,Winter‘s Tale,INFJ,15 Pdb Votes
Shmuel,The Boy in the Striped Pajamas (2008),INFJ,29 Pdb Votes
Maharet,Queen of the Damned,INFJ,5 Pdb Votes
Alex Truelove,Alex Strangelove (2018),INFJ,42 Pdb Votes
Jesus Christ,The Passion of the Christ,INFJ,40 Pdb Votes
Kang Yeo-ri,Spellbound (2011 film),XXXX,4 Pdb Votes
Isolde,Tristan & Isolde (2006),INFJ,13 Pdb Votes
Laura,The Orphanage,INFJ,9 Pdb Votes
Charles Ryder,Brideshead Revisited (2008),INFJ,4 Pdb Votes
Kyu Yoon Do,Silenced (2011),INFJ,6 Pdb Votes
Otto,Riders of Justice (Retfærdighedens ryttere),INFJ,17 Pdb Votes
Mahatma Gandhi,Gandhi (1982),INFJ,39 Pdb Votes
Jia,Godzilla vs. Kong,INFJ,18 Pdb Votes
The Knights Who Say Ni,Monty Python and the Holy Grail (1975),INFJ,64 Pdb Votes
Donald Trump,Zoolander (2001),INFJ,40 Pdb Votes
Preeta,Tom and Jerry (2021),INFJ,10 Pdb Votes
Will Benson / William Willis,I Know What You Did Last Summer (1997),INFJ,6 Pdb Votes
