char,movie,mbti,votes
Zarina,Tinker Bell (2008),ENTP,286 Pdb Votes
Theodore Finch,All the Bright Places (2020),ENTP,405 Pdb Votes
Simon Gruber,Die Hard,ENTP,44 Pdb Votes
Zodiac Killer,Zodiac (2007),ENTP,111 Pdb Votes
Charlie Frost,2012 (2009 disaster film),ENTP,31 Pdb Votes
Fletcher,The Gentlemen (2019),ENTP,114 Pdb Votes
Chevalier de Balibari,Barry Lyndon (1975),ENTP,43 Pdb Votes
Salvatore Di Vita,Cinema Paradiso (1988),ENTP,66 Pdb Votes
Doctor John Dolittle,Dolittle (2020),ENTP,90 Pdb Votes
Kevin Gnapoor,Mean Girls (2004),ENTP,332 Pdb Votes
Mark Hanna,The Wolf of Wall Street (2013),ENTP,230 Pdb Votes
Scott Calvin / Santa Claus,The Santa Clause (trilogy),ENTP,130 Pdb Votes
One,6 Underground (2019),ENTP,46 Pdb Votes
Janessa,Barbie In The 12 Dancing Princesses (2006),ENTP,41 Pdb Votes
Isla,Barbie In The 12 Dancing Princesses (2006),ENTP,30 Pdb Votes
Captain Klenzendorf,Jojo Rabbit (2019),ENTP,192 Pdb Votes
"Edward ""Eddie"" Morra",Limitless (2011),ENTP,95 Pdb Votes
Fish Out of Water,Chicken Little (2005),ENTP,119 Pdb Votes
Jake Jensen,The Losers (2010),ENTP,17 Pdb Votes
Barry B. Benson,Bee Movie (2007),ENTP,355 Pdb Votes
Roddy St. James,Flushed Away (2006),ENTP,248 Pdb Votes
Dr. Buddy Rydell,Anger Management (2003),ENTP,44 Pdb Votes
Cheshire Cat,Alice in Wonderland / Through the Looking Glass (2010 - 2016),ENTP,480 Pdb Votes
Ted Bundy,"Extremely Wicked, Shockingly Evil and Vile (2019)",ENTP,196 Pdb Votes
Bowery King,John Wick,ENTP,137 Pdb Votes
"Ronald Reagan ""Bodhi""",Point Break (1991),ENTP,99 Pdb Votes
Ferdinand,Babe (1995),XXXX,13 Pdb Votes
Jesse Swanson,Pitch Perfect (Series),ENTP,167 Pdb Votes
Will Newman,Five Feet Apart (2019),ENTP,226 Pdb Votes
Harry Burns,When Harry Met Sally... (1989),ENTP,244 Pdb Votes
Mary Jackson,Hidden Figures (2016),ENTP,89 Pdb Votes
Guy,The Croods (Franchise),ENTP,333 Pdb Votes
The Mask,The Mask (1994),ENTP,460 Pdb Votes
Zigzag,The Thief and the Cobbler (1993),ENTP,40 Pdb Votes
Joe Chandler,Manchester by the Sea (2016),ENTP,13 Pdb Votes
Jack Vincennes,L.A. Confidential (1997),ENTP,62 Pdb Votes
Fester Addams,The Addams Family,ENTP,322 Pdb Votes
Héctor,Coco (2017),ENTP,635 Pdb Votes
Wallace Wells,Scott Pilgrim vs. the World (2010),ENTP,420 Pdb Votes
"Simon ""Sick Boy"" Williamson",Trainspotting (1996),ENTP,341 Pdb Votes
Dr. Strangelove,Dr. Strangelove (1964),ENTP,120 Pdb Votes
Molly Brown,Titanic (1997),ENTP,140 Pdb Votes
Dennis Nedry,Jurassic Park / Jurassic World (Film Franchise),ENTP,163 Pdb Votes
"Meriadoc ""Merry"" Brandybuck",The Lord of the Rings (Film Trilogy),ENTP,376 Pdb Votes
Ex-CIA Agent/Prisoner,World War Z (2013),XXXX,1 Pdb Vote
Pedro Mendonca,Os Huios,XXXX,1 Pdb Vote
Leonardo José,Os Huios,XXXX,1 Pdb Vote
Professor Groeteschele,Fail Safe (1964),ENTP,8 Pdb Votes
Earl Dopler,Clockstoppers (2002),XXXX,1 Pdb Vote
Bhagat,Doctor [Tamil] - 2021,XXXX,1 Pdb Vote
Marcus,The Maze Runner (Film Trilogy),XXXX,1 Pdb Vote
Professor Krassman,The Muppet Movie (1979),XXXX,1 Pdb Vote
''Protagonista Criança'',ESCONDIDO,XXXX,1 Pdb Vote
''Protagonista'',ESCONDIDO,ENTP,8 Pdb Votes
Mac McGrath,Mr. Deeds (2002),XXXX,5 Pdb Votes
George,Never Been Kissed (1999),XXXX,1 Pdb Vote
Water Gun Brat,The Final Destination (2009),XXXX,1 Pdb Vote
Denis Payton,Having A Wild Weekend ( 1965),ENTP,10 Pdb Votes
Aunt Martha,On Moonlight Bay (series),ENTP,2 Pdb Votes
Rapper,Lord of the Flies (1990),XXXX,1 Pdb Vote
"Harold Patterson ""Rick Maltese"" ",Hot Air (2016),XXXX,1 Pdb Vote
Fiedler,Enemy of the state,XXXX,1 Pdb Vote
Daniel Leon Zavitz,Enemy of the state,XXXX,1 Pdb Vote
Jason Korda,Ripper (2001),ESFJ,1 Pdb Vote
