char,movie,mbti,votes
Charlie Rawlins,Bedknobs and Broomsticks (1971),ESTP,4 Pdb Votes
Nicholas (Nick) Liester,Culpa mía (My Fault) 2023,ESTP,88 Pdb Votes
Brandon,Megan (2023),ESTP,44 Pdb Votes
Donkey Kong,The Super Mario Bros. Movie (2023),ESTP,464 Pdb Votes
Duke Cody,Glass Onion: A Knives Out Mystery (2022),ESTP,118 Pdb Votes
Hornet,Bullet Train,ESTP,65 Pdb Votes
Ugly Sonic,Sonic the Hedgehog (Film Series),ESTP,49 Pdb Votes
Richie,The Outfit,ESTP,25 Pdb Votes
Benjy,How to Eat Fried Worms (2006),XXXX,3 Pdb Votes
"""The Guy""",Spy Kids (2001),ESTP,24 Pdb Votes
Hannibal Chau,Pacific Rim (2013),XXXX,23 Pdb Votes
Azrael,The Smurfs (2011),ESTP,11 Pdb Votes
Brian,Carriers (2009),ESTP,4 Pdb Votes
Nick Spitz,Murder Mystery (2019),ESTP,50 Pdb Votes
Zafar,Kalank (2019),ESTP,13 Pdb Votes
Scat Cat,The Aristocats (1970),XXXX,14 Pdb Votes
Rick Mitchell,The Mitchells vs. the Machines (2021),ESTP,578 Pdb Votes
Donny Berger,That’s My Boy,ESTP,25 Pdb Votes
Kyle Kingson,Beastly (2011),ESTP,30 Pdb Votes
Raphael,Teenage Mutant Ninja Turtles (2014),ESTP,166 Pdb Votes
Gigan,MonsterVerse,ESTP,32 Pdb Votes
Sterling,I Believe in Unicorns,ESTP,61 Pdb Votes
Nessus the River Centaur,Hercules (franchise),ESTP,12 Pdb Votes
Major Jack Strafer Celliers,"Merry Christmas, Mr. Lawrence",ESTP,75 Pdb Votes
Elvira,Elvira: Mistress of the Dark (1988),ESTP,195 Pdb Votes
Olivia Castle,Final Destination 5 (2011),XXXX,45 Pdb Votes
Jack,She's Out of My League,XXXX,3 Pdb Votes
Cynthia Bishop,"sex, lies, and videotape",ESTP,25 Pdb Votes
Jake LaMotta,Raging Bull (1980),ESTP,179 Pdb Votes
Buford “Mad Dog” Tannen,Back to the Future (Series),ESTP,65 Pdb Votes
Brenda,The Maze Runner (Film Trilogy),ESTP,138 Pdb Votes
Joaquín Mondragon,The Book of Life (2014),ESTP,74 Pdb Votes
Trimagasi,The Platform / El Hoyo (2020),ESTP,147 Pdb Votes
Lampwick,Pinocchio (1940),ESTP,71 Pdb Votes
James Bond (Moore),James Bond Film Series,ESTP,80 Pdb Votes
Sky,Mamma Mia! (2008),ESTP,67 Pdb Votes
Stewart,Terkel in Trouble (Terkel i knibe; 2004),ESTP,29 Pdb Votes
Harry Tasker,True Lies ( 1994),ESTP,13 Pdb Votes
Lacey Underall,Caddyshack (1980),XXXX,4 Pdb Votes
Rasputia Latimore,Norbit (2007),ESTP,276 Pdb Votes
Alex,Dunkirk (2017),ESTP,53 Pdb Votes
Connie Nikas,Good Time (2017),ESTP,344 Pdb Votes
Hugh Ransom Drysdale,Knives Out (2019),ESTP,668 Pdb Votes
Carroll Shelby,Ford v Ferrari / Le Mans '66 (2019),ESTP,90 Pdb Votes
Odile,Barbie of Swan Lake (2003),ESTP,58 Pdb Votes
Zé Pequeno,City of God (2002),ESTP,353 Pdb Votes
Mark Wylde,Hot Wheels World Race / AcceleRacers,ESTP,50 Pdb Votes
Guy Woodhouse,Rosemary’s Baby (1968),ESTP,59 Pdb Votes
Tallahassee,Zombieland (Franchise),ESTP,217 Pdb Votes
Jay,Descendants (Franchise),ESTP,259 Pdb Votes
Mark,Midsommar (2019),ESTP,266 Pdb Votes
Mickey O'Neil,Snatch (2000),ESTP,103 Pdb Votes
Watto,Star Wars,ESTP,98 Pdb Votes
Bossk,Star Wars,ESTP,41 Pdb Votes
John Fitzgerald,The Revenant (2015),ESTP,73 Pdb Votes
F*cksh*t,Mid90s (2018),ESTP,119 Pdb Votes
Lisa,The Room (2003),ESTP,169 Pdb Votes
Nicky Santoro,Casino (1995),ESTP,137 Pdb Votes
Danny Zuko,Grease (1978),ESTP,289 Pdb Votes
Tatum Riley,Scream (Franchise),ESTP,555 Pdb Votes
Zeus,Hercules (franchise),ESTP,133 Pdb Votes
Martin Riggs,Lethal Weapon (Movie Series),ESTP,55 Pdb Votes
Carson Wells,No Country for Old Men (2007),ESTP,125 Pdb Votes
George Miller,The Butterfly Effect (2004),ESTP,21 Pdb Votes
Tommy Miller,The Butterfly Effect (2004),ESTP,51 Pdb Votes
Shank,Wreck-It Ralph (Franchise),ESTP,200 Pdb Votes
Lindsay Edgecombe,Before I Fall (2017),ESTP,77 Pdb Votes
Oh Dae-su,Oldboy (2003) (올드보이),ESTP,323 Pdb Votes
Nino,Drive (2011),ESTP,79 Pdb Votes
Mr. John Smith,Mr. & Mrs. Smith (2005),ESTP,226 Pdb Votes
"Elle Driver ""California Mountain Snake""",Kill Bill (2003),ESTP,315 Pdb Votes
August Walker,Mission: Impossible (Franchise),ESTP,126 Pdb Votes
Ernesto de la Cruz,Coco (2017),ESTP,589 Pdb Votes
Jack Torrance,The Shining (1980),ESTP,636 Pdb Votes
Lucius Best “Frozone”,The Incredibles (Franchise),ESTP,434 Pdb Votes
Captain Phoebus,The Hunchback of Notre Dame (1996),ESTP,242 Pdb Votes
March Hare,Alice in Wonderland (1951),ESTP,131 Pdb Votes
Letty Ortiz,The Fast and the Furious (Film Franchise),ESTP,195 Pdb Votes
Dr. Gonzo,Fear and Loathing in Las Vegas (1998),ESTP,100 Pdb Votes
Juror #7,12 Angry Men (1957),ESTP,227 Pdb Votes
Poe Dameron,Star Wars,ESTP,598 Pdb Votes
Biff Tannen,Back to the Future (Series),ESTP,447 Pdb Votes
Ruffnut Thorston,How to Train Your Dragon (Franchise),ESTP,277 Pdb Votes
Snotlout Jorgenson,How to Train Your Dragon (Franchise),ESTP,279 Pdb Votes
Laurent,Café de Flore,XXXX,1 Pdb Vote
Simon Phillips,Impulse (2008),ESTP,3 Pdb Votes
Zak Gibbs,Clockstoppers (2002),XXXX,1 Pdb Vote
Robert J. Pearson,The Case of Itaewon Homicide,ESTP,5 Pdb Votes
Jafar,Descendants (Franchise),XXXX,1 Pdb Vote
Tom Newcliffe,The Beast Must Die (1974),ESTP,10 Pdb Votes
Doc Hopper,The Muppet Movie (1979),ESTP,2 Pdb Votes
Big Ed,White Heat (1949),XXXX,1 Pdb Vote
Stanley Jobson,Swordfish (2001),XXXX,1 Pdb Vote
Torch,Puppet Master,XXXX,1 Pdb Vote
Brom Van Brunt,Sleepy Hollow (1999),XXXX,1 Pdb Vote
Mr. Suby,The Final Destination (2009),XXXX,1 Pdb Vote
Necati,Yazgı(2001),ESTP,4 Pdb Votes
Roch Theriault,Savage Messiah (2002),ESTP,10 Pdb Votes
Tony,Lord of the Flies (1990),XXXX,1 Pdb Vote
Will,Lord of the Flies (1990),XXXX,1 Pdb Vote
Paulie Pintero,Enemy of the state,XXXX,1 Pdb Vote
Eddie Sackman,Ripper (2001),XXXX,1 Pdb Vote
Snowman,Robot Dreams,ESTP,2 Pdb Votes
Shivakumar,Abraham Ozler (2024),ESTP,2 Pdb Votes
Douche,500 Days of Summer (2009),ESTP,2 Pdb Votes
Kutty,Aavesham (2024),ESTP,2 Pdb Votes
Bandit,Smokey and the Bandit,ESTP,10 Pdb Votes
Gilly Martin,In a Valley of Violence,ESTP,2 Pdb Votes
Ward,Gunshy (1998),XXXX,1 Pdb Vote
Paul Martel,Unfaithful (2002),XXXX,1 Pdb Vote
Guntoro,Get Married (Franchise),ISFP,1 Pdb Vote
Kimura,Outrage,ESTP,10 Pdb Votes
Mizuno,Outrage,ESTP,10 Pdb Votes
Harold Brown,Exotica (1994),ISTP,2 Pdb Votes
Bernardo,O Lobo Atrás Da Porta (2013),ESTP,5 Pdb Votes
Boxer,Victoria (2015),XXXX,1 Pdb Vote
Mariví,Chance (2009),ENTJ,2 Pdb Votes
Io,Escape From Planet Earth,XXXX,1 Pdb Vote
Corinne,Sitting in Bars with Cake (2023),ESTP,2 Pdb Votes
Adolfo ,Tin & Tina,ESTP,6 Pdb Votes
Trevor Gooden,Hellraiser,XXXX,1 Pdb Vote
Nico Bradley,Hellraiser,XXXX,1 Pdb Vote
Tiamat,Godzilla x Kong: The New Empire (2024),ESTP,13 Pdb Votes
Pete Brenner,Pain Hustlers (2023),ESTP,2 Pdb Votes
Lt. Col. Thomas Devoe,The Peacemaker (1997),ESTP,2 Pdb Votes
