char,movie,mbti,votes
Alicia Nash,A Beautiful Mind (2001),ENTJ,125 Pdb Votes
King Stefan,Maleficent (2014),ENTJ,86 Pdb Votes
Amanda Woods,The Holiday (2006),ENTJ,139 Pdb Votes
Will Traynor,Me Before You (2016),ENTJ,418 Pdb Votes
Dean Armitage,Get Out (2017),ENTJ,108 Pdb Votes
Vincent Hanna,Heat (1995),ENTJ,194 Pdb Votes
Tulio,The Road to El Dorado (2000),ENTJ,462 Pdb Votes
Angel Eyes,The Dollars Trilogy,ENTJ,227 Pdb Votes
Nathan Bateman,Ex Machina (2014),ENTJ,284 Pdb Votes
Baron Vladimir Harkonnen,Dune (1984),ENTJ,37 Pdb Votes
Shere Khan,The Jungle Book (1967),ENTJ,253 Pdb Votes
Shenzi,The Lion King (Franchise),ENTJ,239 Pdb Votes
"Rodrigo ""Guigo"" Miguel",Os Huios,ENTJ,2 Pdb Votes
Richard,All the Colors of the Dark (1972),XXXX,2 Pdb Votes
Dr. George Gibbs,Clockstoppers (2002),INTJ,1 Pdb Vote
Queenie Kapoor,Monkey Man (2024),ENTJ,3 Pdb Votes
Bloated  Ghost,Talk to Me,XXXX,1 Pdb Vote
Dr. Philip K. Decker,Nightbreed (1990),XXXX,3 Pdb Votes
Phillip Evans,White Heat (1949),XXXX,1 Pdb Vote
Gabriel Shear,Swordfish (2001),XXXX,1 Pdb Vote
Mia Yap,My Friends,ESFJ,3 Pdb Votes
The Lord Of The Rings The Main Theme,The Lord of the Rings (Film Trilogy),ENTJ,5 Pdb Votes
Sheriff,Sheriff: Narko Integriti,XXXX,1 Pdb Vote
Dave Clark,Having A Wild Weekend ( 1965),ENTJ,10 Pdb Votes
Andrea Carter,Ripper (2001),XXXX,1 Pdb Vote
Maria Braun,Marriage of Maria Braun,ENTJ,5 Pdb Votes
Jake Bridges,Gunshy (1998),XXXX,1 Pdb Vote
Sekiuchi,Outrage,ENTJ,10 Pdb Votes
Marlon the Gator,The Princess and the Frog (2009),XXXX,1 Pdb Vote
Panda Pig (Candidate),Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Bambi,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ENTJ,7 Pdb Votes
Flora,La Chimera,XXXX,1 Pdb Vote
La Bête,La Belle et la Bête (2014),ENTJ,4 Pdb Votes
Yellow Rabbit,Five Nights at Freddy's (Movie),ENTJ,23 Pdb Votes
Loo,The Tiger's Apprentice,XXXX,1 Pdb Vote
Hong Na-ra,Love Reset (2023),ENTJ,4 Pdb Votes
Museum girl,"Play it again, Sam (1972 film)",XXXX,1 Pdb Vote
Viktor Govorov (Antibiotic),Bandit Petersburg | Бандитский Петербург,ENTJ,13 Pdb Votes
Balisarius,Rebel Moon (Franchise),ENTJ,38 Pdb Votes
Shen's wolf army,Kung Fu Panda (Franchise),ENTJ,5 Pdb Votes
Diana Nyad,Nyad,ENTJ,14 Pdb Votes
John Dory,Trolls (2016),ENTJ,74 Pdb Votes
E.I.K.,Ofis Akademia,ENTJ,15 Pdb Votes
Deng Fang,Born to Fly (2023),XXXX,1 Pdb Vote
Campbell,Fair Play (2023),ENTJ,22 Pdb Votes
"""Tiger"" Muthuvel Pandian",Jailer,ENTJ,8 Pdb Votes
"Alistair ""The Hatbox Ghost"" Crump",Haunted Mansion (2023),ENTJ,21 Pdb Votes
Maxime Gerard,A Haunting in Venice,ENTJ,25 Pdb Votes
Gabriel,Mission: Impossible (Franchise),ENTJ,61 Pdb Votes
Jessica Shepard,Twisted (2004),XXXX,3 Pdb Votes
Raheela,Polite Society,ENTJ,4 Pdb Votes
Canton,Heaven's Gate (1980),XXXX,1 Pdb Vote
Spider plush,Spider-Man: Across the Spider-Verse (2023),ENTJ,83 Pdb Votes
 General Bounine,Anastasia (1956),ENTJ,10 Pdb Votes
Alexander the Great ,Alexander the Great (1956),XXXX,1 Pdb Vote
Jim Balsillie,BlackBerry (2023),ENTJ,22 Pdb Votes
Meera,Dilwale (2015),ENTJ,12 Pdb Votes
Bruno,Sisu,ENTJ,11 Pdb Votes
King Henry II of England,Becket (1964),ENTJ,2 Pdb Votes
Harry Lime,The Third Man,ENTJ,20 Pdb Votes
Rainbow Unicorn,Inside Out (Franchise),XXXX,13 Pdb Votes
Queen La,Tarzan (1999),ENTJ,16 Pdb Votes
Dee Dee,Cocaine Bear (2023),ENTJ,25 Pdb Votes
Meg,Sleepaway Camp (1983),ENTJ,2 Pdb Votes
Supreme Leader,Captain EO (1986),ESTJ,1 Pdb Vote
Red Death,How to Train Your Dragon (Franchise),ENTJ,14 Pdb Votes
אלעד,סרט אפס,ENTJ,2 Pdb Votes
Little Jordan Sanders,Little (2019),ENTJ,14 Pdb Votes
Jumbo,Killer Klowns from Outer Space (1988),XXXX,4 Pdb Votes
Kimio Tamura,Shin Ultraman,ENTJ,4 Pdb Votes
"Damien ""Dame"" Anderson",Creed (Franchise),ENTJ,104 Pdb Votes
Professor Emma Anemone,The School for Good and Evil,ENTJ,13 Pdb Votes
"Cassandra ""Andi"" Brand",Glass Onion: A Knives Out Mystery (2022),ENTJ,130 Pdb Votes
The White Death,Bullet Train,ENTJ,111 Pdb Votes
Tricia Albright,Orphan (2009-2022),ENTJ,155 Pdb Votes
Gaysorn ,Love Destiny The Movie (Bupphesanniwat 2),ENTJ,17 Pdb Votes
Dr. Arjun Reddy Deshmukh,Arjun Reddy,ENTJ,17 Pdb Votes
Madame Frufru,Turma da Mônica,ENTJ,23 Pdb Votes
Austin,Not Another Teen Movie,ENTJ,16 Pdb Votes
Drea Torres,Do Revenge (2022),ENTJ,909 Pdb Votes
Ravenna,The Huntsman: Winter's War,ENTJ,72 Pdb Votes
Gwen Blake,The Black Phone,ENTJ,177 Pdb Votes
Santanico Pandemonium,From Dusk Till Dawn (1996),ENTJ,35 Pdb Votes
Commander Walters,Sonic the Hedgehog (Film Series),ENTJ,7 Pdb Votes
Leopold Stokowski,Walt Disney's Fantasia (1940),ENTJ,4 Pdb Votes
Beth,The Lost City (2022),ENTJ,32 Pdb Votes
Abigail Fairfax,The Lost City (2022),ENTJ,60 Pdb Votes
Colonel Mertz von Quirnheim,Valkyrie,XXXX,6 Pdb Votes
Travis Freeland,Thirteen (2003),ENTJ,24 Pdb Votes
Stepan Voronov,Zhmurki (2005),XXXX,7 Pdb Votes
Lota de Macedo Soares,Reaching for the Moon (2013),ENTJ,7 Pdb Votes
Kazuaki Kamiya,One Cut of the Dead,ENTJ,7 Pdb Votes
Tom Porter,Marrowbone (2017),ENTJ,11 Pdb Votes
Major Kabir Dhaliwal,War 2019,ENTJ,20 Pdb Votes
Dr. Ivo Steadman,No Night Is Too Long,ENTJ,8 Pdb Votes
Oscar “Butch” Bowers,It (2017),ENTJ,30 Pdb Votes
Linnet Ridgeway Doyle,Death on the Nile (2022),ENTJ,99 Pdb Votes
Cyril Gray,Nanny McPhee and the Big Bang,ENTJ,15 Pdb Votes
Descendants 3 - Queen of Mean,Descendants (Franchise),ENTJ,77 Pdb Votes
Blake Dreyer,Final Destination (2000),ENTJ,4 Pdb Votes
Leonora Lesso,The School for Good and Evil,ENTJ,146 Pdb Votes
Daniel Cravinhos (O Menino que Matou Meus Pais),O Menino que Matou Meus Pais / A Menina que Matou os Pais (2021),ENTJ,29 Pdb Votes
Hugo Barrett,The Servant (1963),ENTJ,17 Pdb Votes
Malcolm X,Malcolm X (1992),ENTJ,11 Pdb Votes
Bajirao,Bajirao Mastani,ENTJ,24 Pdb Votes
Nikki,Contracted (2013),XXXX,4 Pdb Votes
Derek Cho,Mayhem (2017),ENTJ,21 Pdb Votes
Frantis Griss,Star Wars,XXXX,5 Pdb Votes
Schatze Page,How to Marry a Millionaire (1953),ENTJ,12 Pdb Votes
Miles,Alvin And The Chipmunks (2007),ENTJ,33 Pdb Votes
Cebolinha,Turma da Mônica,ENTJ,70 Pdb Votes
Alden,He's All That (2021),ENTJ,110 Pdb Votes
Detective Aikawa,The World Of Kanako (2014),ENTJ,6 Pdb Votes
La Femme,Inside,ENTJ,12 Pdb Votes
Samir,La Haine (1995),ENTJ,9 Pdb Votes
Richard Williams,King Richard (2021),ENTJ,71 Pdb Votes
Al-G-Rhythm,Space Jam: A New Legacy,ENTJ,63 Pdb Votes
Kurt,Fear Street (Franchise),ENTJ,56 Pdb Votes
