char,movie,mbti,votes
Brittany,Bottoms,ISTJ,61 Pdb Votes
Seán Kinsella,The Quiet Girl (2022),ISTJ,10 Pdb Votes
The Hunter,EMESIS BLUE,ISTJ,17 Pdb Votes
Şahin,İllegal Hayatlar,ISTJ,3 Pdb Votes
Dina ,the big 4,XXXX,4 Pdb Votes
Papa Bear,Shrek (Franchise),ISTJ,80 Pdb Votes
Priscilla,The Pebble and the Penguin (1995),ENFJ,10 Pdb Votes
Ms. Mecham,Ramona and Beezus (2010),XXXX,8 Pdb Votes
Throk,How to Train Your Dragon (Franchise),ISTJ,4 Pdb Votes
Kiriko,Ninja Assassin,XXXX,3 Pdb Votes
Queen Selina,The Little Mermaid (2023 film),ISTJ,20 Pdb Votes
Leonardo ,TMNT (2007),ISTJ,31 Pdb Votes
Trevor,Smile,ISTJ,21 Pdb Votes
Ruth,Pearl (2022),ISTJ,236 Pdb Votes
Burt Fabelman,The Fabelmans (2022),ISTJ,92 Pdb Votes
Peg,Glass Onion: A Knives Out Mystery (2022),ISTJ,58 Pdb Votes
Prudence,Cinderella (1950),ISTJ,24 Pdb Votes
Sgt. Jim Bert,The Blob (1958),ISTJ,4 Pdb Votes
Luthera of Landreth (Wandering Blade),Kung Fu Panda (Franchise),ISTJ,26 Pdb Votes
Avik San,The Gray Man,ISTJ,30 Pdb Votes
Suzanne Brewer,The Gray Man,ISTJ,28 Pdb Votes
Hunt,The Irishman (2019),XXXX,1 Pdb Vote
Clare,"Hello, Goodbye, and Everything In Between",ISTJ,37 Pdb Votes
Bobby Deerfield,Bobby Deerfield (1977),ISTJ,9 Pdb Votes
Guard,Alienoid (2022),ISTJ,7 Pdb Votes
Don Cody,Girl in the Basement,ISTJ,26 Pdb Votes
Haşmet,Aile Arasinda,ISTJ,9 Pdb Votes
Eun Young,Eclipse (2016),XXXX,1 Pdb Vote
Andrea Romero ''la rara'',Perras 2011,ISTJ,14 Pdb Votes
Master Chao,Kung Fu Panda (Franchise),ISTJ,7 Pdb Votes
Mugi Yamane,I Fell in Love Like a Flower Bouquet (2021),XXXX,28 Pdb Votes
Doctor,Zhmurki (2005),XXXX,6 Pdb Votes
Miki Yoshino,One Cut of the Dead,ISTJ,4 Pdb Votes
Will Kane,High Noon,ISTJ,16 Pdb Votes
Stormtrooper,Star Wars,ISTJ,82 Pdb Votes
Pamela Travers,Saving Mr. Banks (2013),ISTJ,17 Pdb Votes
Suki Lane,Sing (Franchise),ISTJ,73 Pdb Votes
Władysław Kargul,Sami swoi,ISTJ,6 Pdb Votes
Young-Woo,Watching,ISTJ,3 Pdb Votes
Jakob Störr,The Story of My Wife (2021),ISTJ,5 Pdb Votes
Bronwyn Rojas,One of us is Lying (Show),ISTJ,167 Pdb Votes
Thomas Brian Reynolds,Enemy of the state,INTJ,1 Pdb Vote
Deputy Vinson,Scream (Franchise),ISTJ,10 Pdb Votes
Kosach,Come and See (1985),ISTJ,26 Pdb Votes
Samad Mijidi,Just 6.5 (2019),ISTJ,24 Pdb Votes
Kate,Carriers (2009),XXXX,1 Pdb Vote
Rajan Damodaran,Taare Zameen Par (Like Stars On Earth),ISTJ,13 Pdb Votes
Bradley Thomas,Brawl in Cell Block 99,ISTJ,10 Pdb Votes
Mette,The Celebration (Dogme 1 : Festen),ISTJ,4 Pdb Votes
Melvin Sneedly,Captain Underpants (movie),ISTJ,110 Pdb Votes
Major Heinrich Strasser,Casablanca (1942),ISTJ,14 Pdb Votes
Alexandra Privet,Barbie: Princess Charm School,ISTJ,79 Pdb Votes
Roman,Firebird (2021),ISTJ,52 Pdb Votes
Necati,Recep İvedik 4,ISTJ,3 Pdb Votes
"Lt. Bradly ""Rooster"" Bradshaw",Top Gun Series,ISTJ,207 Pdb Votes
Jim Dear,Lady and the Tramp (1955),ISTJ,15 Pdb Votes
Suzi Nakamura,Murder Mystery (2019),ISTJ,8 Pdb Votes
Ann,Nurse Ann,XXXX,4 Pdb Votes
Macarena Lady,Titane (2021),ISTJ,2 Pdb Votes
Janessa,Barbie Presents Thumbelina,ISTJ,14 Pdb Votes
Lin Wen-heung,A City of Sadness,ISTJ,2 Pdb Votes
Security Guard (Polkovnik),The Green Elephant (1999),ISTJ,41 Pdb Votes
Mitchell,Blockers (2018),ISTJ,11 Pdb Votes
Alžbětka's Father,Little Otik (Otesánek),ESTJ,1 Pdb Vote
Capulet,Romeo and Juliet (1968),XXXX,3 Pdb Votes
Bobby Joe Long,Believe Me: The Abduction of Lisa McVey,ISTJ,17 Pdb Votes
Emmett,A Quiet Place (2018),ISTJ,143 Pdb Votes
Steven,The Uninvited (2009),XXXX,4 Pdb Votes
Tom Burgess,My Policeman (2022),ISTJ,47 Pdb Votes
Pig,The Big Bad Fox and Other Tales... (2017),ISTJ,11 Pdb Votes
Deems Taylor,Walt Disney's Fantasia (1940),ISTJ,4 Pdb Votes
Tom Welles,8MM (1999),ISTJ,11 Pdb Votes
Marian Paroo,The Music Man (1962),ISTJ,42 Pdb Votes
Dr. Sylvester,Metal Lords (2021),ISTJ,5 Pdb Votes
Perry Kelvin,Warm Bodies (2013),ISTJ,8 Pdb Votes
Nyla Chones,Freaky (2020),ISTJ,20 Pdb Votes
Claudia,Moxie (2021),ISTJ,155 Pdb Votes
Lord Rogers,The Swan Princess (1994),ISTJ,8 Pdb Votes
