char,movie,mbti,votes
Danny,Evil Dead Series,INTP,72 Pdb Votes
Shota Uranishi,Re/Member (2022),INTP,12 Pdb Votes
Peter Moore,AIR (2023),INTP,20 Pdb Votes
Loretta McLaughlin ,Boston Strangler,INTP,21 Pdb Votes
April O'Neil,Teenage Mutant Ninja Turtles: Mutant Mayhem,INTP,73 Pdb Votes
Donatello,Teenage Mutant Ninja Turtles: Mutant Mayhem,INTP,147 Pdb Votes
Fused Ultraman,Shin Ultraman,INTP,4 Pdb Votes
Kyle Marks,When You Finish Saving the World,INTP,15 Pdb Votes
Odee,Captain EO (1986),INTP,2 Pdb Votes
Howie,Ramona and Beezus (2010),INTP,17 Pdb Votes
Jack Gladney,White Noise (2022),INTP,30 Pdb Votes
"Gothi, the Village Elder",How to Train Your Dragon (Franchise),INTP,7 Pdb Votes
Bob McReed,Killer Klowns from Outer Space (1988),XXXX,3 Pdb Votes
Vitaly Innokentyevich Vitvitsky,Chikatilo,INTP,16 Pdb Votes
Kamran Chaudhry,Grimcutty,XXXX,1 Pdb Vote
Kamek,The Super Mario Bros. Movie (2023),INTP,120 Pdb Votes
Tsukasa Takagi,High and Low,INTP,18 Pdb Votes
Alithea,Three Thousand Years of Longing (2022),INTP,44 Pdb Votes
Misty,My Little Pony: A New Generation (2021),INTP,252 Pdb Votes
Rufus the thief,Notting Hill (1999),XXXX,2 Pdb Votes
Unnamed killer,Angst (1983),INTP,26 Pdb Votes
The Casket Salesman,The Irishman (2019),XXXX,1 Pdb Vote
Nick,My True Friend (2012),INTP,6 Pdb Votes
Casey,We're All Going to the World's Fair,INTP,27 Pdb Votes
Mr Dinkles,Trolls (2016),INTP,58 Pdb Votes
Marnie Cooper,Scream (Franchise),INTP,29 Pdb Votes
Pigeon Toady,Storks (2016),INTP,11 Pdb Votes
Mr Gao,Turning Red (2022),INTP,46 Pdb Votes
Wyatt,Old Henry (2021),INTP,13 Pdb Votes
Megumi 'Rindaman' Hayashida,Crows Zero (2007),INTP,21 Pdb Votes
Inspector Jacques Clouseau (Peter Sellers),The Pink Panther (film series),INTP,9 Pdb Votes
Nigar,Aik Hai Nigar,INTP,5 Pdb Votes
John Clancy,Solace (2015),INTP,5 Pdb Votes
Brainy Smurf,The Smurfs (2011),INTP,24 Pdb Votes
George Stitzer,The Wedding Singer (1998),INTP,10 Pdb Votes
Thoth,Gods of Egypt (2016),INTP,19 Pdb Votes
Barry Gabrewski,Sidekicks (1992),INTP,5 Pdb Votes
Jeremy,Think Like a Man (2012),INTP,15 Pdb Votes
Danny (Role Models),Role Models,INTP,44 Pdb Votes
