char,movie,mbti,votes
Jacob Kowalski,Fantastic Beasts,ESFJ,323 Pdb Votes
Heather McNamara,Heathers (1989),ESFJ,669 Pdb Votes
Leodore Lionheart,Zootopia (2016),ESFJ,195 Pdb Votes
Juror #10,12 Angry Men (1957),ESFJ,208 Pdb Votes
Nani Pelekai,Lilo & Stitch (Franchise),ESFJ,422 Pdb Votes
Tank,The Matrix Trilogy,ESFJ,88 Pdb Votes
Claire Dennison,Impulse (2008),ESFJ,1 Pdb Vote
Jenny Gibbs,Clockstoppers (2002),XXXX,1 Pdb Vote
Francesca,Clockstoppers (2002),XXXX,1 Pdb Vote
Natalie Strout,In the Bedroom (2001),XXXX,1 Pdb Vote
Rachel Carruthers (Halloween 4),Halloween (1978),ISFJ,2 Pdb Votes
Vinnie,The Odd Couple (1968),XXXX,1 Pdb Vote
Caroline Newcliffe,The Beast Must Die (1974),ESFJ,10 Pdb Votes
Martha Heyer,Martha(1974),ESFJ,4 Pdb Votes
Dave Moon,Sing (Franchise),XXXX,1 Pdb Vote
Azul,Ojitos de huevo,XXXX,1 Pdb Vote
Gladys Matheson,Separate Tables (1958),XXXX,1 Pdb Vote
Kotoko,Revolver Lily,ESFJ,10 Pdb Votes
Emily Reynolds,Enemy of the state,XXXX,1 Pdb Vote
Rick Huxley,Having A Wild Weekend ( 1965),ESFJ,10 Pdb Votes
Molly Keller,Ripper (2001),XXXX,1 Pdb Vote
Beni,Get Married (Franchise),XXXX,1 Pdb Vote
Bloofy,Inside Out (Franchise),ENFP,4 Pdb Votes
Ura Tsukasa,Saiko! The Large Family (2009),XXXX,1 Pdb Vote
Zebra,Earth - Lil Dicky,INFJ,1 Pdb Vote
Amy Stanton,The Killer Inside Me (2010),ESFJ,3 Pdb Votes
Irma La Douce,Irma La Douce,ESFJ,7 Pdb Votes
Descendants 3 - One Kiss,Descendants (Franchise),ESFJ,3 Pdb Votes
Danika Lund,Supernova (2000),XXXX,1 Pdb Vote
Shen's mother,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Tara,How to Have Sex (2023),ESFJ,10 Pdb Votes
Мать Жанны,"Все умрут, а я останусь (2008)",XXXX,3 Pdb Votes
Ae Rim,Citizen of a Kind (2024),XXXX,1 Pdb Vote
Jess Walker,Family Switch,ESFJ,77 Pdb Votes
Eboy,Wreck-It Ralph (Franchise),ESFJ,4 Pdb Votes
Butcher Boy,Wreck-It Ralph (Franchise),ESFJ,3 Pdb Votes
Ms. Meyer,Up (2009),XXXX,1 Pdb Vote
Kang Huijae,New Generation War: Reawakened Man (2023),ESFJ,2 Pdb Votes
Jayda,Leo (2023),ESFJ,16 Pdb Votes
Ann Beaulieu,Priscilla (2023),ESFJ,9 Pdb Votes
Fanny Crill,Peacock (2010),ESFJ,3 Pdb Votes
Pam Adkisson,The Iron Claw,ESFJ,9 Pdb Votes
Helen,Happiness for Beginners,ESFJ,6 Pdb Votes
Tom Bogan,Nope (2022),ESFJ,3 Pdb Votes
Gabbie,Haunted Mansion (2023),ESFJ,26 Pdb Votes
Luigi,The Wages of Fear,ESFJ,5 Pdb Votes
Vera Charles,Mame (1974),ESFJ,6 Pdb Votes
Chihuahua,My Darling Clementine (1946),ESFJ,2 Pdb Votes
Lucie,Red Riding Hood (2011),ESFJ,2 Pdb Votes
Cinder Lumen,Elemental,ESFJ,88 Pdb Votes
Helen,The Snows of Kilimanjaro (1952),ISFJ,1 Pdb Vote
Maxine,Five Nights at Freddy's (Movie),ESFJ,48 Pdb Votes
Optimus Primal,Transformers: Rise of the Beasts,ESFJ,46 Pdb Votes
Bianca,The Taming of the Shrew (1929),ESFJ,10 Pdb Votes
Stephanie Graham ,Journey into Fear (1943),ESFJ,5 Pdb Votes
Mrs. Mathews,Journey into Fear (1943),ESFJ,7 Pdb Votes
Laurel Dallas,Stella Dallas (1937),ESFJ,1 Pdb Vote
Ethel Carter,The Hills Have Eyes (1977),ESFJ,6 Pdb Votes
Silva,Strange Way of Life (2023),ESFJ,12 Pdb Votes
Winnie-the-Pooh,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFJ,30 Pdb Votes
Roger,Beau is Afraid,ESFJ,16 Pdb Votes
Mona Wassermann,Beau is Afraid,ESFJ,54 Pdb Votes
Kaveri Amma,Swades,ESFJ,5 Pdb Votes
Aunt Bea,Ramona and Beezus (2010),ESFJ,12 Pdb Votes
Daisy,Killer Klowns from Outer Space (1988),XXXX,3 Pdb Votes
"Elisabeth ""Babou"" Garraud-Larchet",Le Prénom (2012),ESFJ,5 Pdb Votes
The K-pop gang,Trolls (2016),ESFJ,11 Pdb Votes
Dr. Madeline Northcott,Smile,ESFJ,9 Pdb Votes
Allen Albright,Orphan (2009-2022),ESFJ,38 Pdb Votes
Ben Johnson,Brat / Brother (1997),ESFJ,5 Pdb Votes
Mitzy,Pearl (2022),ESFJ,247 Pdb Votes
Owen Whistler,They/Them,ESFJ,17 Pdb Votes
"Elizabeth Moscatello, R.N. / Assisted Living Nurse",The Irishman (2019),XXXX,1 Pdb Vote
Bruce Yamada,The Black Phone,ESFJ,51 Pdb Votes
Jillian,Despicable Me (Franchise),ESFJ,15 Pdb Votes
Ambrosius Goldenloin,Nimona (2023),ESFJ,126 Pdb Votes
Tobe,Down in the Valley (2005),XXXX,10 Pdb Votes
Patrick Stella,Vacanze Estive,ESFJ,14 Pdb Votes
"Iris Hernández ""La Ñoña""",Perras 2011,ESFJ,28 Pdb Votes
Mamy,8 femmes,XXXX,8 Pdb Votes
Aakruti Dave,Simmba (2018),ISFJ,1 Pdb Vote
Elena Walters,Monster House (2006),ESFJ,10 Pdb Votes
Eric,Malibu Rescue,XXXX,8 Pdb Votes
Stephen Glass,Shattered Glass (2003),ESFJ,40 Pdb Votes
Cecilie Fjellhoy,The Tinder Swindler,ESFJ,35 Pdb Votes
Billy,Gone,XXXX,1 Pdb Vote
Jacob,Joseph: King of Dreams,ESFJ,5 Pdb Votes
Yoshiko Sasahara,One Cut of the Dead,ESFJ,6 Pdb Votes
Mary Fisher,She-Devil (1989),ESFJ,15 Pdb Votes
