char,movie,mbti,votes
Priest,Amadeus (1984),ISFJ,11 Pdb Votes
Jane Martin,The Blob (1958),ISFJ,2 Pdb Votes
Li Ronan,Incantation (2022),ISFJ,30 Pdb Votes
Timmy,The Pebble and the Penguin (1995),ISFJ,10 Pdb Votes
The Assisted Living Priest,The Irishman (2019),XXXX,1 Pdb Vote
Marcus,The Ballad of Songbirds and Snakes (2023),XXXX,9 Pdb Votes
Alissa,It Takes Two,ISFJ,8 Pdb Votes
Sarah Quinn,Goosebumps (2015),ISFJ,8 Pdb Votes
Nuri Çamlı,Her Şey Çok Güzel Olacak,ISFJ,13 Pdb Votes
Lourdes Valenzuela ''La tora'',Perras 2011,ISFJ,11 Pdb Votes
Dr. John Dolittle,Doctor Dolittle (1998),ISFJ,7 Pdb Votes
KTX Captain,Train to Busan (2016),ISFJ,8 Pdb Votes
Mediha Sessiz,The Butterfly's Dream,ISFJ,5 Pdb Votes
Ben,Scouts Guide to the Zombie Apocalypse,ISFJ,10 Pdb Votes
Junna Kurihara,One Cut of the Dead,ISFJ,4 Pdb Votes
Amy Fowler,High Noon,ISFJ,8 Pdb Votes
Empress Mehrunisa,Padmaavat (2018),ISFJ,10 Pdb Votes
Jerry,Sing (Franchise),ISFJ,56 Pdb Votes
Jasmine,Mr. & Mrs. Smith (2005),ISFJ,13 Pdb Votes
Munk,Happily N'Ever After,ISFJ,25 Pdb Votes
Lily,It Ends with Us,ISFJ,11 Pdb Votes
Jin Lee,Turning Red (2022),ISFJ,388 Pdb Votes
Franco Rivera,Coco (2017),ISFJ,6 Pdb Votes
Katie,The Secret Life of Pets (2016),ISFJ,17 Pdb Votes
Hamid,Just 6.5,XXXX,1 Pdb Vote
Sue Ann,Ma (2019),ISFJ,54 Pdb Votes
Lisa,Dead Silence,XXXX,1 Pdb Vote
Dylan,Sinister Series,ISFJ,7 Pdb Votes
"Lt. Cmdr. Rick ""Jester"" Heatherly",Top Gun Series,ISFJ,9 Pdb Votes
Bennett,Think Like a Man (2012),ISFJ,12 Pdb Votes
Candace,Think Like a Man (2012),ISFJ,12 Pdb Votes
Alice Lomax,The Devil's Advocate (1997),XXXX,9 Pdb Votes
Mr. Manchas,Zootopia (2016),ISFJ,40 Pdb Votes
Dana,Liceenii (1986),ISFJ,19 Pdb Votes
Therapy Cat Lady,Soul (2020),ISFJ,10 Pdb Votes
Mr. Stork,Dumbo (1941),ISFJ,8 Pdb Votes
Junjie,Kung Fu Panda (Franchise),ISFJ,5 Pdb Votes
Johnna Monevata,August: Osage County (2013),ISFJ,5 Pdb Votes
Ivy Weston,August: Osage County (2013),ISFJ,11 Pdb Votes
Alexia's Mother,Titane (2021),ISFJ,2 Pdb Votes
Miss Viola,Happy Feet (2006-2011),ISFJ,2 Pdb Votes
Annette,Annette (2021),ISFJ,13 Pdb Votes
Yusuf,Masumiyet,XXXX,6 Pdb Votes
Masafumi Kobayashi,Noroi: The Curse (2005),ISFJ,17 Pdb Votes
Петр Величук,Огонь (2020),ISFJ,4 Pdb Votes
Jim Hawkins,Treasure Island (1988),ISFJ,104 Pdb Votes
Cindy Berman,Fear Street (Franchise),ISFJ,622 Pdb Votes
Cynthia,Red Eye (2005),ISFJ,17 Pdb Votes
Bob Redding,Elvira: Mistress of the Dark (1988),ISFJ,23 Pdb Votes
Arthur Kipps,The Woman in Black (2012),ISFJ,13 Pdb Votes
Han Solo Berger (Todd Peterson),That’s My Boy,ISFJ,26 Pdb Votes
Anne,The Father (2020),ISFJ,48 Pdb Votes
