char,movie,mbti,votes
Varun Pratap Malhotra,Animal Movie,XXXX,2 Pdb Votes
Chuck Cedar,Mr. Deeds (2002),ESTP,5 Pdb Votes
Jan,Mr. Deeds (2002),ESTJ,5 Pdb Votes
Georgie Majors,Barbie in A Mermaid Tale 2,XXXX,1 Pdb Vote
Miss Mary Stevens,On Moonlight Bay (series),ESTJ,2 Pdb Votes
Stacey,Phat Girlz (2006),XXXX,1 Pdb Vote
Naim,Yazgı(2001),ESTJ,2 Pdb Votes
Tony Ifrit,Sheriff: Narko Integriti,XXXX,1 Pdb Vote
Vic Dakin,The Villain (1971),ESTJ,6 Pdb Votes
Kodumon Potti,Bramayugam (2024),ESTJ,2 Pdb Votes
Sheriff Buford T. Justice,Smokey and the Bandit,ESTJ,10 Pdb Votes
Jerry,Gunshy (1998),XXXX,1 Pdb Vote
Tiang,Man Suang (2023),XXXX,1 Pdb Vote
Maemunah (Mae),Get Married (Franchise),ESTJ,2 Pdb Votes
Sheldon Runyon,The Contender (2000),XXXX,1 Pdb Vote
Shen Yuelin,Red Corner (1997),XXXX,1 Pdb Vote
Evgeny Golikov,Battleship Potemkin (1925),ESTJ,10 Pdb Votes
Ippolit Giliarovsky,Battleship Potemkin (1925),ESTJ,10 Pdb Votes
Mullah Razzan,12 Strong (2018),ISTJ,2 Pdb Votes
Omar,West Beirut (1998),XXXX,1 Pdb Vote
Gloria González-Dubois,Chance (2009),ESTJ,2 Pdb Votes
The Magistrate,"Salò, or the 120 days of Sodom",ESTJ,6 Pdb Votes
Bear Crime Boss,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
The Doctor,Hellraiser,XXXX,1 Pdb Vote
Howard Hendricks,The Killer Inside Me (2010),ESTJ,5 Pdb Votes
Verona Parker,The Beekeeper (2024),ESTJ,14 Pdb Votes
Frank Calhoun,Hot Summer Nights (2017),ESTJ,8 Pdb Votes
黎志田 Li Zhitian,坚如磐石 (Under the Light),XXXX,4 Pdb Votes
Janet,Lisa Frankenstein (2024),ESTJ,18 Pdb Votes
Chump,Migration (2023),ESTJ,21 Pdb Votes
Mikhail Alexandrovich Berlioz,The Master and Margarita (2024),ESTJ,5 Pdb Votes
Amanda Sandford,Leave the World Behind,ESTJ,93 Pdb Votes
"George Steever ""Mr. Brown""",The Taking Of Pelham One Two Three (1974),ESTJ,4 Pdb Votes
Ильдар,Слово пацана. Кровь на асфальте / Slovo patsana,ESTJ,48 Pdb Votes
отец Вовы и Марата,Слово пацана. Кровь на асфальте / Slovo patsana,ESTJ,22 Pdb Votes
Miri,Beauty Water (기기괴괴 성형수),ESTJ,4 Pdb Votes
Gabo,Wish (2023),ESTJ,27 Pdb Votes
Kisha,A Haunted House (2013),ESTP,7 Pdb Votes
Jo,The Wages of Fear,ESTJ,6 Pdb Votes
Jane Schmidt,Five Nights at Freddy's (Movie),ESTJ,97 Pdb Votes
Shura (баба Шура),Love and Pigeons (Любовь и голуби),ESTJ,4 Pdb Votes
Madame Olga Kirowa,Waterloo Bridge,XXXX,1 Pdb Vote
Eleanor Abbott,Inventing the Abbotts (1997),ESTJ,9 Pdb Votes
Finn Larsen,Challengers (2024),ESTJ,11 Pdb Votes
Champion ,Heaven's Gate (1980),ENTJ,1 Pdb Vote
Franz Liebkind,The Producers (1967 film),ESTJ,6 Pdb Votes
Lorraine Minosa,Ace in the Hole (1951),XXXX,1 Pdb Vote
Alfie Blessington,Poor Things,ESTJ,44 Pdb Votes
Scourge,Transformers: Rise of the Beasts,ESTJ,49 Pdb Votes
Ondina (Vodianytsa),Mavka. The Forest song (2021),ESTJ,6 Pdb Votes
Major Calloway ,The Third Man,ESTJ,17 Pdb Votes
Jarnathan,Dungeons & Dragons: Honor Among Thieves (2023),ESTJ,14 Pdb Votes
Teodora,Perdida (2023),XXXX,1 Pdb Vote
Bonnie Rockwaller,Kim Possible (2019),XXXX,2 Pdb Votes
Susan Kushner,Ramona and Beezus (2010),ESTJ,10 Pdb Votes
Recom. Miles Quaritch,Avatar (Franchise),ESTJ,297 Pdb Votes
Ève,A Faithful Man,ESTJ,19 Pdb Votes
Commander Bog,Captain EO (1986),ENTJ,2 Pdb Votes
David,Megan (2023),ESTJ,54 Pdb Votes
Kiyomi Takada,Death Note (2006),ESTJ,2 Pdb Votes
Geeta (Gitli),Swades,ESTJ,17 Pdb Votes
Miss Agatha Trunchbull,Matilda the Musical (2022 film),ESTJ,135 Pdb Votes
Varvara Plyushch,The Diamond Arm (1969),ESTJ,6 Pdb Votes
Camille Mother,Leap! / Ballerina (2016),ESTJ,24 Pdb Votes
Curtis Mooney,Killer Klowns from Outer Space (1988),ESTJ,10 Pdb Votes
King Gristle Sr.,Trolls (2016),XXXX,3 Pdb Votes
Foreman Spike,The Super Mario Bros. Movie (2023),ESTJ,35 Pdb Votes
Police Captain,Se7en (1995),ESTJ,19 Pdb Votes
Augustus Crow III,The Sea Beast,ESTJ,65 Pdb Votes
Morteza,Abad va yek rooz(ابد و یک روز),ESTJ,6 Pdb Votes
Sylvester Andreevich,Univer. New Dorm,ESTJ,27 Pdb Votes
Perry White,Superman Returns (2006),ESTJ,8 Pdb Votes
Violet Crawley,Downtown Abbey (2019),ESTJ,16 Pdb Votes
The Dream Producer,Inside Out (Franchise),ESTJ,22 Pdb Votes
Salih,Cinayet Süsü,ESTJ,3 Pdb Votes
Priscilla,Not Another Teen Movie,ESTJ,24 Pdb Votes
Francis,The Outfit,ESTJ,7 Pdb Votes
Alia Atreides,Dune (1984),ESTJ,19 Pdb Votes
Mahavir Singh Phogat,Dangal (2016),ESTJ,28 Pdb Votes
Henry McCarty,Old Henry (2021),ESTJ,15 Pdb Votes
William Sellers,Tart (2001),ESTJ,2 Pdb Votes
Ma Jarrett,White Heat (1949),XXXX,1 Pdb Vote
Bert Gordon,The Hustler (1961),ESTJ,8 Pdb Votes
Ke-Pa,Kung Fu Panda (Franchise),ESTJ,9 Pdb Votes
Artemis Hidalgo,Through My Window (a través de mi ventana),ESTJ,35 Pdb Votes
Misty Luggins,The Bad Guys (2022),ESTJ,111 Pdb Votes
Marquis Vincent Bisset de Gramont,John Wick,ESTJ,366 Pdb Votes
Daruma doll,As the Gods Will,ESTJ,15 Pdb Votes
The Matriarch,Dumbo (1941),ESTJ,13 Pdb Votes
Vice Admiral Cyclone,Top Gun Series,ESTJ,85 Pdb Votes
Lauren,Think Like a Man (2012),ESTJ,19 Pdb Votes
Mrs. Astrakhan,Happy Feet (2006-2011),ESTJ,5 Pdb Votes
Klaus Koch,Persischstunden（Persian Lessons）,ESTJ,16 Pdb Votes
Mr. Perkins,Despicable Me (Franchise),ESTJ,89 Pdb Votes
Deb,Tammy (2014),XXXX,3 Pdb Votes
George McAllister,Dead Poets Society (1989),ESTJ,24 Pdb Votes
Adrien's Mother,Titane (2021),ESTJ,2 Pdb Votes
Major Friedkin,Zootopia (2016),ESTJ,25 Pdb Votes
Dan,Look Away (2018),ESTJ,17 Pdb Votes
Ms. Birdwell,The Emperor's New Groove (2000),ESTJ,26 Pdb Votes
Lady 1,The House That Jack Built (2018),ESTJ,33 Pdb Votes
Wei Lai,Better Days (2019),ESTJ,55 Pdb Votes
Bunny,Don't Worry Darling (2022),ESTJ,76 Pdb Votes
"Helge, the father",The Celebration (Dogme 1 : Festen),XXXX,7 Pdb Votes
Semyon,Eastern Promises,ESTJ,14 Pdb Votes
Dirk van Kombast,The Vampir Schwestern,ESTJ,6 Pdb Votes
Ercole Visconti,Luca (2021),ESTJ,414 Pdb Votes
Din's Mom,Wish Dragon (2021),ESTJ,43 Pdb Votes
LeBron James,Space Jam: A New Legacy,ESTJ,66 Pdb Votes
Debbie,Shiva Baby (2020),ESTJ,13 Pdb Votes
Lady Sarah Ashley,Australia (2008),ESTJ,5 Pdb Votes
Lou,Fight Club (1999),ESTJ,54 Pdb Votes
Tapasvi Maharaj,PK (2014),ESTJ,12 Pdb Votes
Heather Hills,Diary of a Wimpy Kid (Series),ESTJ,68 Pdb Votes
Dara,Rumah Dara (Macabre),ESTJ,4 Pdb Votes
Vincent,Vincent N Roxxy (2016),ESTJ,3 Pdb Votes
Abigail Sponder,Ocean's Eleven Trilogy,ESTJ,14 Pdb Votes
Chef,Tom and Jerry (2021),ESTJ,7 Pdb Votes
Colonel Grigio,Warm Bodies (2013),ESTJ,19 Pdb Votes
Kingo Gondo,High and Low (1963),ESTJ,14 Pdb Votes
Princess Olivia,Barbie in Rock 'N Royals (2015),ESTJ,18 Pdb Votes
Lady Anne,Barbie in Rock 'N Royals (2015),ESTJ,15 Pdb Votes
Celeste,Celeste and Jesse Forever,ESTJ,10 Pdb Votes
Nana,Madagascar (Franchise),ESTJ,81 Pdb Votes
