char,movie,mbti,votes
Tommy Donegal,Mona Lisa Smile (2003),XXXX,1 Pdb Vote
Jackson Evans,The Contender (2000),XXXX,1 Pdb Vote
Grigory Vakulinchuk,Battleship Potemkin (1925),ENFJ,10 Pdb Votes
Fernando Gonzáles-Dubois,Chance (2009),ENFJ,2 Pdb Votes
Maori Hino,Even if This Love Disappears from the World Tonigh,ENFJ,4 Pdb Votes
Clifford Anderson,Deathtrap (1982 film),ENFJ,8 Pdb Votes
Catherine DeLarouche,Upgraded (2024),XXXX,11 Pdb Votes
Jackie Lombardo,Señora Influencer (2023),ENFJ,3 Pdb Votes
Guido Magri,La Sociedad de la Nieve (Society of the Snow),XXXX,4 Pdb Votes
Mistral,The Tiger's Apprentice,XXXX,1 Pdb Vote
Darrian Bloodaxe,Rebel Moon (Franchise),ENFJ,13 Pdb Votes
Choi Ji-young,Ashfall (2019),ENFJ,3 Pdb Votes
Blossom,The Powerpuff Girls Movie (2002),XXXX,1 Pdb Vote
Leonard Bernstein ,Maestro,ENFJ,33 Pdb Votes
Old Woman,Barbie (2023),ENFJ,8 Pdb Votes
G. H. Scott,Leave the World Behind,ENFJ,51 Pdb Votes
Диляра,Слово пацана. Кровь на асфальте / Slovo patsana,ENFJ,10 Pdb Votes
Lady Bayford,Damsel (2024),ENFJ,35 Pdb Votes
Ji-hoon,Beauty Water (기기괴괴 성형수),ENFJ,4 Pdb Votes
Viva,Trolls (2016),ENFJ,106 Pdb Votes
Salma,Dogman,ENFJ,9 Pdb Votes
Zhang Ting,Born to Fly (2023),ENTJ,1 Pdb Vote
So Si Min,Brave Citizen (2023),ENFJ,27 Pdb Votes
Emily,Fair Play (2023),ENFJ,46 Pdb Votes
Natalie Kingsley,After (Film Trilogy),XXXX,32 Pdb Votes
Ricky（瑞琪）,Mole's World（摩尔庄园）,ESFJ,8 Pdb Votes
Harry,All of Us Strangers,ENFJ,34 Pdb Votes
Maggie,Strays (2023),ENFJ,10 Pdb Votes
Almut,We Live in Time,ENFJ,2 Pdb Votes
Aunt Mame Dennis Burnside,Mame (1974),XXXX,3 Pdb Votes
Tachibana,Shin Kamen Rider,XXXX,2 Pdb Votes
Tim Ballard,Sound of Freedom (2023),ENFJ,50 Pdb Votes
Captain Harper,The Dollars Trilogy,XXXX,1 Pdb Vote
Phrik,I Fine..Thank You..Love You,XXXX,1 Pdb Vote
The Duke,Waterloo Bridge,XXXX,1 Pdb Vote
Helen Holt,Inventing the Abbotts (1997),ENFJ,5 Pdb Votes
The Reverend Doctor,Heaven's Gate (1980),XXXX,1 Pdb Vote
Vanessa ‘Ursula’s Persona’,The Little Mermaid (2023 film),ENFJ,179 Pdb Votes
Mario Misaki (Raoh),High & Low The Worst X (Cross),ENFJ,14 Pdb Votes
Dr. Owen ,Smilin' Through (1932),ENFJ,2 Pdb Votes
Lisa Rochelle ,Copper Canyon (1950),ENFJ,2 Pdb Votes
Helen Morrison Dallas,Stella Dallas (1937),XXXX,1 Pdb Vote
Tamar,The Miracle Maker,XXXX,1 Pdb Vote
Jesus,The Miracle Maker,XXXX,1 Pdb Vote
Padre Pablo,Bandidas,XXXX,1 Pdb Vote
Tea’s ghost (1700s),1700s ft,ENFJ,12 Pdb Votes
The Prince (aka The Shadow Man),Happily Ever After (1990),ENFJ,9 Pdb Votes
Minnie Mink,The Hateful Eight (2015),XXXX,7 Pdb Votes
Gabi Bauer,Infinity Pool (2023),ENFJ,161 Pdb Votes
Peter Dunning,Safe (1995),ENFJ,6 Pdb Votes
Doraemon,Stand By Me Doraemon 2 (2020),XXXX,15 Pdb Votes
Vicência Santos,Fantastic Beasts,ENFJ,6 Pdb Votes
Mike Tobacco,Killer Klowns from Outer Space (1988),ENTP,17 Pdb Votes
Nora Clark,Step Up (2006),ENFJ,9 Pdb Votes
Chaz,Trolls (2016),ENFJ,14 Pdb Votes
Grandma Rosiepuff,Trolls (2016),ENFJ,3 Pdb Votes
Danny Baldwin,The Good Nurse (2022),ENFJ,7 Pdb Votes
Amy Loughren,The Good Nurse (2022),ENFJ,34 Pdb Votes
Milo,Pusher Trilogy,ENFJ,25 Pdb Votes
Ghasitaram,Sonu Ke Titu Ki Sweety,XXXX,1 Pdb Vote
Stan Bobrucz,For Keeps (1988),ENFJ,11 Pdb Votes
Kim Possible,Kim Possible (2019),ENFJ,13 Pdb Votes
Thomas,The Whale (2022),ENFJ,101 Pdb Votes
Agnes,The Hunt (Jagten; 2012),XXXX,1 Pdb Vote
Father Joseph K. Dyer,The Exorcist (1973),ENFJ,11 Pdb Votes
Dhairya,Aspirants [web series],ENFJ,4 Pdb Votes
Abigail Callaghan,Big Hero 6 (2014),ENFJ,14 Pdb Votes
Steve Andrews,The Blob (1958),XXXX,6 Pdb Votes
Laura Crane,Scream (Franchise),ENFJ,60 Pdb Votes
Marike ,You Can Live Forever (2022),ENFJ,13 Pdb Votes
Ramiro,"Yo, adolescente",XXXX,15 Pdb Votes
Steve Abnesti,Spiderhead (2022),ENFJ,51 Pdb Votes
Mr. Elliot,Persuasion (2022),ENFJ,21 Pdb Votes
Aidan,"Hello, Goodbye, and Everything In Between",ENFJ,17 Pdb Votes
Yoshitaka Tsubota,Flying Colors (2015),ENFJ,2 Pdb Votes
Ellie,Evil Dead Series,ENFJ,47 Pdb Votes
"Badarawuhi ""Dawuh""",KKN di Desa Penari,ENFJ,45 Pdb Votes
Chris,"My Teacher, My Obsession",ENFJ,15 Pdb Votes
Tamara Riley,Tamara (2005),ENFJ,34 Pdb Votes
Hamlet,Ophelia,ENFJ,14 Pdb Votes
Miracle Candle,Encanto (2021),ENFJ,106 Pdb Votes
Mater Lachrymarum,Mother of Tears,ENFJ,17 Pdb Votes
Saeko Takahashi (高橋 紗絵子),Shitsuren Chocolatier ( 失恋ショコラティエ ),ENFJ,8 Pdb Votes
Annabel Leigh,Lolita (1997),ENFJ,63 Pdb Votes
Break Summers,Barbie in A Mermaid Tale,ENFJ,12 Pdb Votes
Zee,Ice Age (Franchise),ENFJ,20 Pdb Votes
"Ricky ""Jupe"" Park",Nope (2022),ENFJ,156 Pdb Votes
Bima,KKN di Desa Penari,ENFJ,22 Pdb Votes
Ania Kwiatkowska,Planeta Singli,XXXX,18 Pdb Votes
Casita,Encanto (2021),ENFJ,303 Pdb Votes
Mrs. Ulman,The House of The Devil,XXXX,2 Pdb Votes
Lonette,Cool World (1992),ENFJ,29 Pdb Votes
Pit Bull,Sparkshorts (Pixar Artists Projects),ENFJ,5 Pdb Votes
Idi Amin,Last King of Scotland (2006),ENFJ,17 Pdb Votes
Mr. Beck,Chrissa Stands Strong (2009),ENFJ,5 Pdb Votes
Kun,My True Friend (2012),ENFJ,12 Pdb Votes
Penny Benjamin,Top Gun Series,ENFJ,48 Pdb Votes
Vicomte Raoul de Chagny,The Phantom of the Opera (1925),ENFJ,3 Pdb Votes
Min Hyuk,Parasite (2019),ENFJ,43 Pdb Votes
Mihai,Liceenii (1986),ENFJ,16 Pdb Votes
Toilet Guy,La Haine (1995),ENFJ,10 Pdb Votes
Beverly Donofrio,Riding in Cars with Boys,ENFJ,22 Pdb Votes
Barbie,Barbie Presents Thumbelina,ENFJ,10 Pdb Votes
Thumbelina,Barbie Presents Thumbelina,ENFJ,20 Pdb Votes
Dana,Hotel Transylvania (2012),ENFJ,8 Pdb Votes
Tina Templeton,Boss Baby (Franchise),ENFJ,76 Pdb Votes
Peyton Leverett,High School Musical (Film Trilogy),ENFJ,25 Pdb Votes
Frank,Don't Worry Darling (2022),ENFJ,218 Pdb Votes
Максим Шустов,Огонь (2020),XXXX,13 Pdb Votes
Boi Evans,High School Musical (Film Trilogy),ENFJ,8 Pdb Votes
Peter Abelard,Stealing Heaven (1988),XXXX,6 Pdb Votes
Dejah Thoris,John Carter (2012),ENFJ,6 Pdb Votes
Annie Woods,Legally Blondes (2009),ENFJ,18 Pdb Votes
Shannon Street-Millard,I Can Only Imagine (2018),XXXX,1 Pdb Vote
Linda Mitchell,The Mitchells vs. the Machines (2021),ENFJ,381 Pdb Votes
Linda,Anger Management (2003),ENFJ,7 Pdb Votes
Cleopatra,Asterix and Obelix (Franchise),ENFJ,24 Pdb Votes
Avar Kriss,Star Wars,ENFJ,13 Pdb Votes
Theo Marchand,Monte Carlo (2011),ENFJ,28 Pdb Votes
Barbie,Barbie: A Fairy Secret,ENFJ,136 Pdb Votes
Teresa Del Taco,Sausage Party (2016),ENFJ,28 Pdb Votes
Rei Nagasawa,Ride or Die (2021),ENFJ,25 Pdb Votes
Wookiee,Star Wars,ENFJ,7 Pdb Votes
Papa Smurf,The Smurfs (2011),ENFJ,26 Pdb Votes
Chief Detective Tokura,High and Low (1963),ENFJ,6 Pdb Votes
Percy Fawcett,The Lost City of Z,XXXX,16 Pdb Votes
First Ancestor Fa,Mulan (Franchise),ENFJ,24 Pdb Votes
Sam the Onion Man,Holes (2003),ENFJ,39 Pdb Votes
Benjamin,Twilight (Franchise),ENFJ,24 Pdb Votes
Benja,Raya and the Last Dragon (2021),ENFJ,288 Pdb Votes
Thunderclap,The Good Dinosaur (2015),ENFJ,5 Pdb Votes
Sofie Fatale,Kill Bill (2003),ENFJ,53 Pdb Votes
Shone,First Love / Crazy Little Thing Called Love (2010),ENFJ,4 Pdb Votes
Violet,Bound (1996),ENFJ,90 Pdb Votes
Shangri Llama,Ice Age (Franchise),ENFJ,10 Pdb Votes
Zatoichi,Zatoichi,ENFJ,18 Pdb Votes
Calliope the Muse of Epics,Hercules (franchise),ENFJ,17 Pdb Votes
Mary Fiore,The Wedding Planner,ENFJ,27 Pdb Votes
Megan McCallister,Home Alone,ENFJ,17 Pdb Votes
Una,Stardust (2007),ENFJ,23 Pdb Votes
Barbie,Barbie In A Christmas Carol,ENFJ,48 Pdb Votes
Balthazar,The Scorpion King,ENFJ,3 Pdb Votes
Mr. Tushman,Wonder (2017),ENFJ,30 Pdb Votes
Mr. Browne,Wonder (2017),ENFJ,35 Pdb Votes
Old Major,Animal Farm (1954),ENFJ,20 Pdb Votes
Seryou Touji,Seven Days: Monday - Thursday,ENFJ,6 Pdb Votes
Roy Cronin,Waterloo Bridge,ENFJ,9 Pdb Votes
